average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,63,3,4,NHL,24,23,140,17,234,28,4,1,3,1988-89,NYR,36,27,"[{'link': '/awards/voting-1989.html#calder', 'name': 'Calder-3'}]",15.4,,78
,36,0,0,NHL,25,12,122,-1,120,10,2,3,9,1989-90,TOT,12,24,[],10.0,,56
,25,0,0,NHL,25,9,77,1,79,6,1,2,7,1989-90,NYR,7,18,[],8.9,,37
,11,0,0,NHL,25,3,45,-2,41,4,1,1,2,1989-90,LAK,5,6,[],12.2,,19
,64,3,1,NHL,26,26,154,22,197,18,11,0,8,1990-91,LAK,30,34,[],15.2,,68
,68,8,2,NHL,27,19,187,4,223,30,7,2,8,1991-92,LAK,39,29,[],17.5,,80
,82,6,2,NHL,28,29,171,-1,247,21,14,3,13,1992-93,LAK,37,45,[],15.0,,81
,21,0,0,NHL,29,12,150,-2,117,5,2,2,0,1993-94,LAK,7,14,[],6.0,,50
,24,3,0,NHL,30,8,68,9,106,11,2,1,2,1994-95,LAK,13,11,[],12.3,,33
,35,1,0,NHL,31,13,46,-5,156,12,5,1,4,1995-96,LAK,17,18,[],10.9,,49
,40,4,1,NHL,32,11,159,-7,231,19,5,0,4,1996-97,SJS,25,15,"[{'link': '/awards/masterton.html#1997', 'name': None}]",10.8,,76
,25,2,0,NHL,33,8,70,3,119,13,3,0,1,1997-98,SJS,16,9,[],13.4,,59
10:29,12,1,1,NHL,34,4,54,4,65,5,0,0,2,1998-99,SJS,6,6,[],9.2,367,35
9:05,13,0,0,NHL,35,7,39,2,67,5,1,0,0,1999-00,SJS,6,7,[],9.0,436,48
8:25,9,1,0,NHL,36,4,65,-1,85,3,1,0,1,2000-01,SJS,4,5,[],4.7,505,60
