pim,team,assists,plus_minus,points,league,games_played,year,age,goals
120,Burlington Cougars,16,0,21,ON-Jr.B,37,1990-91,16,5
237,Detroit Compuware Ambassadors,11,0,12,OHL,64,1991-92,17,1
194,Detroit Jr. Red Wings,13,0,16,OHL,64,1992-93,18,3
204,Detroit Jr. Red Wings,35,0,42,OHL,59,1993-94,19,7
49,Birmingham Bulls,3,0,4,ECHL,11,1994-95,20,1
134,Binghamton Rangers,3,0,3,AHL,27,1994-95,20,0
192,Binghamton Rangers,13,0,14,AHL,46,1995-96,21,1
34,Charlotte Checkers,1,0,1,ECHL,6,1995-96,21,0
96,Binghamton Rangers,1,0,2,AHL,10,1996-97,22,1
43,Hartford Wolf Pack,2,10,3,AHL,7,1997-98,23,1
140,2 Teams,2,5,2,AHL,35,1998-99,24,0
49,Hartford Wolf Pack,2,-2,2,AHL,11,1998-99,24,0
91,Lowell Lock Monsters,0,7,0,AHL,24,1998-99,24,0
14,Providence Bruins,1,2,2,AHL,4,1999-00,25,1
85,London Racers,6,0,8,Britain,22,2004-05,30,2
10,Wilkes-Barre Penguins,0,-4,0,AHL,2,2006-07,32,0
