assists,year,games_played,points,goals,team,age,pim,plus_minus,league
5,1996-97,14,13,8,Karhu-Kissat Helsinki U18,17,8,0,Fin-U18
18,1996-97,22,30,12,Karhu-Kissat Helsinki Jr.,17,6,0,Fin-Jr.
11,1997-98,21,24,13,Jokerit Helsinki Jr.,18,14,0,Fin-Jr.
0,1997-98,6,2,2,Finland,18,0,0,WJC-A
22,1998-99,33,32,10,Jokerit Helsinki Jr.,19,6,0,Fin-Jr.
0,1998-99,5,0,0,Jokerit Helsinki,19,0,0,Finland
8,1999-00,12,14,6,Jokerit Helsinki Jr.,20,4,0,Fin-Jr.
0,1999-00,1,0,0,Jokerit Helsinki,20,0,0,Finland
3,1999-00,23,9,6,Hermes Kokkola,20,4,0,Finland-2
18,2000-01,56,28,10,Ilves Tampere,21,16,0,Finland
8,2001-02,50,14,6,Grand Rapids Griffins,22,25,4,AHL
18,2002-03,59,24,6,Binghamton Senators,23,14,13,AHL
18,2003-04,41,27,9,Ilves Tampere,24,43,0,Finland
7,2004-05,56,23,16,Jokerit Helsinki,25,43,0,Finland
11,2005-06,54,21,10,Jokerit Helsinki,26,37,0,Finland
25,2006-07,53,40,15,Lukko Rauma,27,26,0,Finland
16,2007-08,50,24,8,Mora IK,28,14,0,Sweden
11,2008-09,26,13,2,Karpat Oulu,29,8,0,Finland
6,2009-10,27,10,4,2 Teams,30,6,0,Finland
2,2009-10,7,3,1,HIFK Helsinki,30,2,0,Finland
4,2009-10,20,7,3,KalPa Kuopio,30,4,0,Finland
5,2010-11,12,5,0,Grizzly Adams Wolfsburg,31,0,0,Germany
