game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0,0,0,0,19,,8,3,1951-52,3,0,0,0,DET,SC,4,,NHL
0,0,0,0,0,20,,6,4,1952-53,6,0,2,0,DET,,2,,NHL
0,0,0,0,0,21,,0,7,1953-54,9,0,2,0,DET,SC,7,,NHL
0,0,0,0,0,22,,11,8,1954-55,15,0,7,0,DET,SC,2,,NHL
0,0,0,0,0,23,,0,3,1955-56,10,0,7,0,DET,,2,,NHL
0,0,0,0,0,24,,5,2,1956-57,5,0,3,0,DET,,2,,NHL
0,0,0,0,0,25,,4,1,1957-58,1,0,0,0,DET,,0,,NHL
0,10.0,2,20,0,27,,6,6,1959-60,8,0,2,0,DET,,0,,NHL
0,13.3,5,30,0,28,,11,5,1960-61,9,0,4,0,DET,,0,,NHL
0,6.3,0,48,0,30,,0,6,1962-63,9,0,3,0,DET,,2,,NHL
0,5.0,-5,60,0,31,,0,8,1963-64,11,0,3,0,DET,,0,,NHL
0,7.4,-4,27,0,32,,7,3,1964-65,5,0,2,0,DET,,4,,NHL
0,0.0,3,31,0,33,,0,0,1965-66,11,0,0,0,DET,,4,,NHL
0,0.0,-4,11,0,37,,4,2,1969-70,2,0,0,0,DET,,0,,NHL
