game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,0,0,1,0,1950-51,0,0,0,0,,NHL,0,0,18,0,[],0,0,,DET
0,0,0,0,65,22,1951-52,0,0,15,0,,NHL,0,0,19,22,[],37,0,,DET
0,0,0,0,0,43,1952-53,0,0,16,0,,NHL,0,0,20,28,"[{'link': '/awards/nhl_all_star.html#1953', 'name': None}]",59,0,,DET
0,0,0,0,69,18,1953-54,0,0,11,0,,NHL,0,0,21,34,[],29,0,,DET
0,0,0,0,69,31,1954-55,0,0,17,0,,NHL,0,0,22,37,[],48,0,,DET
0,0,0,0,70,26,1955-56,0,0,25,0,,NHL,0,0,23,24,[],51,0,,DET
0,0,0,0,48,25,1956-57,0,0,16,0,,NHL,0,0,24,8,[],41,0,,DET
0,0,0,0,0,38,1957-58,0,0,21,0,,NHL,0,0,25,22,[],59,0,,DET
0,0,0,0,0,35,1958-59,0,0,19,0,,NHL,0,0,26,6,"[{'link': '/awards/nhl_all_star.html#1959', 'name': None}, {'link': '/awards/byng.html#1959', 'name': None}]",54,0,,DET
0,0,0,0,0,28,1959-60,0,0,19,0,,NHL,0,0,27,8,"[{'link': '/awards/voting-1960.html#byng', 'name': 'Byng-3'}]",47,0,,DET
0,0,0,0,0,35,1960-61,0,0,27,0,,NHL,0,0,28,26,[],62,0,,DET
0,0,0,0,0,43,1961-62,0,0,26,0,,NHL,0,0,29,18,[],69,0,,DET
0,0,0,0,0,44,1962-63,0,0,20,0,,NHL,0,0,30,8,"[{'link': '/awards/voting-1963.html#byng', 'name': 'Byng-3'}]",64,0,,DET
2,0,0,0,70,30,1963-64,0,0,23,6,,NHL,0,0,31,11,[],53,17,,DET
7,0,0,0,68,42,1964-65,0,0,25,6,,NHL,0,0,32,16,"[{'link': '/awards/voting-1965.html#byng', 'name': 'Byng-2'}]",67,19,,DET
6,0,0,0,70,38,1965-66,0,0,31,9,,NHL,0,0,33,16,"[{'link': '/awards/byng.html#1966', 'name': None}]",69,18,,DET
2,0,0,0,0,38,1966-67,0,1,17,4,,NHL,0,0,34,10,[],55,12,,DET
2,8,212,0,74,48,1967-68,37,0,22,3,,NHL,10.4,11,35,14,[],70,19,,DET
2,43,221,1,72,58,1968-69,48,0,25,7,,NHL,11.3,9,36,8,"[{'link': '/awards/byng.html#1969', 'name': None}]",83,18,,DET
3,26,218,3,73,47,1969-70,27,0,21,4,,NHL,9.6,17,37,24,[],68,17,,DET
2,-18,171,2,77,34,1970-71,21,0,21,6,,NHL,12.3,11,38,6,[],55,15,,DET
5,-19,123,0,75,45,1971-72,36,0,20,9,,NHL,16.3,9,39,22,[],65,11,,DET
3,6,130,0,77,53,1972-73,36,0,18,8,,NHL,13.8,17,40,13,[],71,10,,DET
0,-13,9,0,11,4,1973-74,0,0,1,1,,NHL,11.1,4,41,2,[],5,0,,DET
