age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0.0,0,0,-3,NHL,4,0,1979-80,0,7,0,,0,11,,LAK,0
21,,0.0,0,0,-6,NHL,4,0,1980-81,0,4,0,,0,27,,LAK,0
22,,11.1,1,3,2,NHL,10,0,1981-82,0,9,1,,0,41,,LAK,4
25,,0.0,0,1,0,NHL,3,0,1984-85,0,3,0,,0,0,,LAK,1
27,,14.3,0,2,-3,NHL,5,0,1986-87,0,7,1,,1,10,,LAK,3
28,,33.3,1,2,0,NHL,5,0,1987-88,0,3,1,,0,21,,LAK,3
29,,0.0,0,2,-1,NHL,18,0,1988-89,0,14,0,,0,51,,PHI,2
30,,0.0,0,0,3,NHL,6,0,1989-90,0,2,0,,0,12,,BUF,0
31,,0,0,1,0,NHL,1,0,1990-91,0,0,0,,0,0,,BUF,1
32,,0.0,0,2,3,NHL,13,0,1991-92,0,7,0,,0,10,,NYR,2
34,SC,0.0,0,0,-6,NHL,23,0,1993-94,0,12,0,,0,20,,NYR,0
35,,0.0,0,0,-4,NHL,10,0,1994-95,0,5,0,,0,8,,NYR,0
36,,0.0,0,1,0,NHL,12,0,1995-96,0,2,0,,0,2,,STL,1
