game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,4.2,-8,24,0,22,,11,0,1971-72,1,0,1,1,STL,,20,,NHL
0,4.3,-4,23,0,23,,11,2,1972-73,3,0,1,1,PHI,,29,,NHL
0,14.3,5,28,0,24,,16,3,1973-74,7,0,4,4,PHI,SC,67,,NHL
2,9.1,3,33,1,25,,0,2,1974-75,5,0,3,2,PHI,SC,49,,NHL
0,8.3,14,24,2,26,,15,2,1975-76,4,0,2,0,PHI,,46,,NHL
0,5.0,-4,20,0,27,,10,1,1976-77,2,0,1,1,PHI,,35,,NHL
0,14.3,4,14,0,28,,12,1,1977-78,3,0,2,2,PHI,,13,,NHL
0,0.0,-6,12,0,29,,8,0,1978-79,0,0,0,0,PHI,,17,,NHL
0,0.0,0,12,0,30,,19,4,1979-80,4,0,0,0,PHI,,50,,NHL
0,0,1,0,0,31,,1,0,1980-81,0,0,0,0,QUE,,0,,NHL
0,0.0,-5,16,0,32,,16,3,1981-82,3,0,0,0,QUE,,18,,NHL
0,0,-3,0,0,33,,4,0,1982-83,0,0,0,0,QUE,,8,,NHL
