game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,1,17,1,7,2,1970-71,0,0,1,0,,NHL,5.9,1,21,21,[],3,1,,NYR
0,11,133,0,60,10,1971-72,10,0,3,0,,NHL,2.3,0,22,147,[],13,3,,STL
1,6,141,0,71,26,1972-73,17,0,4,1,,NHL,2.8,9,23,215,[],30,3,,TOT
0,-2,38,0,25,6,1972-73,4,0,1,0,,NHL,2.6,2,23,51,[],7,1,,STL
1,8,103,0,46,20,1972-73,13,0,3,1,,NHL,2.9,7,23,164,[],23,2,,PHI
1,34,165,1,75,20,1973-74,13,0,3,2,,NHL,1.8,6,24,216,[],23,1,,PHI
4,41,164,1,0,21,1974-75,14,0,11,2,,NHL,6.7,6,25,276,[],32,9,,PHI
2,40,139,1,75,27,1975-76,18,0,9,3,,NHL,6.5,8,26,214,[],36,6,,PHI
0,57,110,1,59,19,1976-77,15,0,10,1,,NHL,9.1,3,27,168,"[{'link': '/awards/voting-1977.html#AS', 'name': 'AS-12'}]",29,9,,PHI
0,31,108,0,69,12,1977-78,10,0,2,0,,NHL,1.9,2,28,225,[],14,2,,PHI
0,21,128,1,77,9,1978-79,7,0,3,0,,NHL,2.3,1,29,135,[],12,3,,PHI
0,37,67,0,58,7,1979-80,7,0,1,0,,NHL,1.5,0,30,107,[],8,1,,PHI
0,6,72,0,63,8,1980-81,8,1,5,1,,NHL,6.9,0,31,93,[],13,3,,QUE
2,3,62,0,60,12,1981-82,12,0,4,0,,NHL,6.5,0,32,100,[],16,4,,QUE
0,11,42,1,46,12,1982-83,11,0,3,0,,NHL,7.1,0,33,69,[],15,3,,QUE
