assists,year,games_played,points,goals,team,age,pim,plus_minus,league
48,1980-81,48,55,7,Montreal-Concordia,15,95,0,QAAA
25,1981-82,64,29,4,Laval Voisins,16,41,0,QMJHL
58,1982-83,70,84,26,Longueuil Chevaliers,17,58,0,QMJHL
14,1983-84,55,19,5,Canada,18,40,0,Nat-Tm
2,1983-84,7,2,0,Canada,18,2,0,WJC-A
11,1983-84,10,13,2,Longueuil Chevaliers,18,6,0,QMJHL
1,1983-84,7,2,1,Canada,18,0,0,Olympics
5,1987-88,10,6,1,Hershey Bears,22,8,0,AHL
43,1988-89,75,53,10,2 Teams,23,61,0,AHL
10,1988-89,12,10,0,Hershey Bears,23,13,0,AHL
33,1988-89,63,43,10,Sherbrooke Canadiens,23,48,0,AHL
19,1989-90,28,27,8,Sherbrooke Canadiens,24,18,0,AHL
0,1990-91,1,0,0,Montreal Canadiens,25,0,0,Fr-Tour
10,1995-96,9,11,1,Worcester IceCats,30,10,0,AHL
9,2000-01,44,17,8,Cleveland Lumberjacks,35,18,1,IHL
2,2001-02,6,7,5,EHC Biel-Bienne,36,2,0,Swiss-2
