game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0,-1,0,0,20,,3,2,1985-86,2,0,0,0,VAN,,0,,NHL
1,20.0,-1,5,0,21,,9,0,1986-87,1,0,1,1,PHI,,0,,NHL
0,0.0,4,13,0,24,,9,0,1989-90,0,0,0,0,MTL,,2,,NHL
0,0.0,4,2,0,25,,5,1,1990-91,1,0,0,0,MTL,,0,,NHL
0,0.0,-2,17,0,26,,11,3,1991-92,3,0,0,0,MTL,,4,,NHL
0,3.0,2,33,0,27,,20,3,1992-93,4,0,1,1,MTL,SC,22,,NHL
0,0.0,1,14,0,28,,7,1,1993-94,1,0,0,0,MTL,,12,,NHL
1,3.3,4,30,1,30,,17,9,1995-96,10,0,1,0,PIT,,36,,NHL
1,8.3,-6,24,1,31,,11,7,1996-97,9,0,2,1,MDA,,16,,NHL
0,0.0,-1,4,0,33,21:35,6,0,1998-99,0,0,0,0,PHX,,8,129,NHL
0,0.0,-1,2,0,34,5:47,1,0,1999-00,0,0,0,0,PHX,,0,6,NHL
