giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,50,0,23,0,0,75,12,0,5,953,NSH,0,0,[],5.3,3,8,-4,4,0,0,1998-99,0,19:04,1,30,0,3
0,NHL,51,2,24,0,0,97,33,0,14,1076,NSH,0,0,[],8.2,5,25,-5,8,0,1,1999-00,0,21:06,2,26,0,11
0,NHL,82,3,25,0,0,151,25,0,8,1901,NSH,0,0,[],7.9,6,13,-6,12,0,0,2000-01,0,23:11,6,50,0,5
0,NHL,82,1,26,0,0,154,42,0,15,1984,NSH,0,0,"[{'link': '/awards/voting-2002.html#AS', 'name': 'AS-20'}]",8.4,4,29,2,13,0,0,2001-02,0,24:12,9,28,1,13
0,NHL,72,0,27,0,0,144,40,0,24,1614,NSH,0,0,[],4.2,2,34,-3,6,0,0,2002-03,0,22:25,4,46,0,10
0,NHL,77,1,28,0,0,180,44,0,22,1838,NSH,0,0,[],6.7,4,32,-7,12,0,0,2003-04,0,23:52,8,52,1,9
0,NHL,79,1,30,0,0,156,50,0,30,1773,NSH,0,0,[],7.1,3,39,-3,11,0,0,2005-06,0,22:26,8,74,1,8
0,NHL,80,2,31,0,0,121,55,0,18,1748,NSH,0,0,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2007.html#norris', 'name': 'Norris-5'}]",10.7,5,42,20,13,0,0,2006-07,0,21:51,8,42,1,23
56,NHL,80,1,32,0,245,125,44,64,26,1886,PHI,26,0,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-18'}, {'link': '/awards/voting-2008.html#norris', 'name': 'Norris-17'}]",6.4,4,36,0,8,0,1,2007-08,129,23:35,3,50,1,9
48,NHL,77,0,33,2,243,104,43,65,26,1888,PHI,30,0.0,"[{'link': '/awards/voting-2009.html#AS', 'name': 'AS-14'}, {'link': '/awards/voting-2009.html#norris', 'name': 'Norris-15'}]",2.9,1,40,19,3,0,0,2008-09,164,24:31,2,54,1,13
35,NHL,82,1,34,0,230,121,39,75,18,1876,PHI,37,0,[],5.0,3,33,-2,6,0,2,2009-10,168,22:53,1,50,1,14
39,NHL,82,0,35,1,290,147,37,96,15,1843,PHI,43,0.0,[],4.1,3,31,11,6,0,2,2010-11,175,22:28,1,36,0,16
35,NHL,76,0,36,0,256,130,43,68,17,1614,PHI,14,100.0,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-21'}]",3.1,0,39,8,4,1,0,2011-12,129,21:14,4,46,0,22
21,NHL,45,1,37,0,169,78,29,31,14,979,PHI,13,0,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-18'}, {'link': '/awards/voting-2013.html#byng', 'name': 'Byng-39'}, {'link': '/awards/voting-2013.html#norris', 'name': 'Norris-20'}]",6.4,2,24,3,5,0,0,2012-13,79,21:46,3,36,0,10
31,NHL,77,1,38,0,293,152,35,75,19,1565,PHI,13,0,[],3.9,5,29,5,6,0,0,2013-14,112,20:20,1,32,1,9
6,NHL,16,0,39,0,17,10,0,15,0,192,CHI,0,0,[],0.0,0,0,-3,0,0,0,2014-15,15,11:59,0,2,0,0
