even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,10,HSA,9,4,18,1,,WHA,0,0,,1973-74,14,0,,0,19,0
0,12,HSA,10,0,19,3,,WHA,0,0,,1974-75,13,0,,0,22,0
0,10,HSA,6,18,20,0,,WHA,0,0,,1975-76,17,0,,0,16,0
0,10,HSA,4,2,21,1,,WHA,0,0,,1976-77,11,0,,0,14,3
0,7,NEW,8,18,22,0,,WHA,0,0,,1977-78,14,0,,0,15,0
0,2,NEW,4,6,23,1,,WHA,0,0,,1978-79,6,0,,0,6,-2
1,2,HAR,1,2,24,0,,NHL,0,8,,1979-80,3,12.5,,0,3,-6
0,2,PHI,0,4,27,0,,NHL,0,5,,1982-83,3,0.0,,0,2,-3
0,0,PHI,0,2,28,0,,NHL,0,10,,1983-84,3,0.0,,0,0,0
2,8,PHI,3,6,29,1,,NHL,0,46,,1984-85,0,6.5,,1,11,11
0,4,PHI,0,0,30,0,,NHL,0,16,,1985-86,5,0.0,,0,4,0
2,10,PHI,2,4,31,0,,NHL,0,67,,1986-87,0,3.0,,0,12,0
3,6,PHI,3,4,32,0,,NHL,0,16,,1987-88,7,18.8,,0,9,7
0,15,PHI,0,10,33,0,,NHL,0,33,,1988-89,19,0.0,,0,15,0
1,3,DET,1,2,37,0,,NHL,0,8,,1992-93,7,12.5,,0,4,6
0,1,DET,0,0,38,0,,NHL,0,2,,1993-94,6,0.0,,0,1,0
0,0,DET,0,0,39,0,,NHL,0,1,,1994-95,3,0.0,,0,0,2
