age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0.0,0,2,0,NHL,4,0,1973-74,0,20,0,,0,0,,ATF,2
22,,0.0,0,0,-3,NHL,2,0,1975-76,0,7,0,,0,2,,ATF,0
23,,10.0,0,3,-2,NHL,3,0,1976-77,0,10,1,,1,8,,ATF,4
24,,16.7,1,0,0,NHL,2,0,1977-78,0,6,1,,0,2,,ATF,1
25,,0.0,0,0,-5,NHL,4,0,1978-79,0,11,0,,0,2,,CBH,0
26,,25.0,0,4,-1,NHL,7,0,1979-80,0,16,4,,4,0,,CBH,8
27,,0.0,0,3,-1,NHL,3,0,1980-81,0,6,0,,0,0,,CBH,3
28,,15.8,3,9,5,NHL,15,0,1981-82,0,38,6,,3,13,,CBH,15
29,,14.6,4,7,1,NHL,13,0,1982-83,2,41,6,,2,8,,CBH,13
30,,14.3,1,1,1,NHL,5,0,1983-84,0,7,1,,0,2,,CBH,2
31,,15.4,4,8,5,NHL,15,0,1984-85,0,26,4,,0,10,,CBH,12
32,,33.3,2,1,-1,NHL,3,0,1985-86,0,6,2,,0,2,,CBH,3
