assists,team,goals,year,games_played,points,pim,age,plus_minus,league
88,Levack Midget Huskies,109,1976-77,94,197,0,15,0,Minor-ON
0,Levack Huskies,2,1976-77,1,2,2,15,0,NOJHA
16,Windsor Spitfires,14,1977-78,68,30,43,16,0,OMJHL
8,Sault Ste. Marie Greyhounds,7,1978-79,26,15,13,17,0,OMJHL
20,2 Teams,16,1979-80,53,36,57,18,0,OMJHL
10,Sault Ste. Marie Greyhounds,11,1979-80,28,21,31,18,0,OMJHL
10,Brantford Alexanders,5,1979-80,25,15,26,18,0,OMJHL
35,Brantford Alexanders,46,1980-81,56,81,155,19,0,OMJHL
37,Erie Blades,33,1981-82,76,70,129,20,0,AHL
2,Baltimore Skipjacks,2,1982-83,5,4,13,21,0,AHL
24,Baltimore Skipjacks,18,1983-84,47,42,98,22,0,AHL
25,Baltimore Skipjacks,20,1984-85,49,45,91,23,0,AHL
0,Canada,0,1991-92,3,0,2,30,0,Nat-Tm
5,Canada,3,1991-92,8,8,8,30,0,Olympics
