shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1981-82,0,0,,0,0,0,0,-2,0,PIT,0,20,0,NHL,0,,1,0,[],0
11.6,1982-83,127,19,,1,95,2,9,-28,22,PIT,11,21,3,NHL,0,,74,33,[],2
9.5,1983-84,33,3,,0,21,0,1,-2,3,PIT,2,22,1,NHL,1,,24,5,[],0
15.8,1984-85,43,7,,0,38,0,5,-8,7,PIT,6,23,1,NHL,1,,30,13,[],0
17.0,1985-86,91,15,,1,100,2,14,-4,18,PIT,17,24,1,NHL,3,,75,35,[],0
11.8,1986-87,56,15,,0,85,0,9,-2,15,PIT,10,25,2,NHL,1,,58,25,[],0
13.5,1987-88,66,14,,0,96,0,10,10,14,TOT,13,26,3,NHL,3,,72,27,[],0
11.8,1987-88,23,3,,0,34,0,3,-2,3,PIT,4,26,1,NHL,1,,21,7,[],0
14.5,1987-88,43,11,,0,62,0,7,12,11,EDM,9,26,2,NHL,2,,51,20,[],0
13.9,1988-89,157,19,,0,72,1,7,-12,20,PIT,10,27,3,NHL,1,,72,30,[],2
15.4,1989-90,55,9,,0,39,0,5,-12,9,TOR,6,28,0,NHL,1,,39,15,[],0
15.3,1990-91,82,15,,6,72,2,10,-9,23,TOR,11,29,2,NHL,1,,74,34,[],0
12.5,1991-92,64,5,,0,32,1,1,-9,6,TOT,4,30,0,NHL,3,,47,10,[],0
8.3,1991-92,16,2,,0,24,0,1,-10,2,TOR,2,30,0,NHL,1,,35,4,[],0
25.0,1991-92,48,3,,0,8,1,0,1,4,BUF,2,30,0,NHL,2,,12,6,[],0
11.6,1992-93,43,12,,1,43,2,5,8,15,BUF,5,31,0,NHL,0,,55,20,[],0
15.0,1993-94,53,10,,5,40,0,3,10,15,BUF,6,32,1,NHL,3,,83,21,[],0
11.1,1994-95,32,8,,3,36,1,2,3,12,BUF,4,33,0,NHL,2,,42,16,[],0
17.1,1995-96,32,8,,2,41,0,5,3,10,TOT,7,34,2,NHL,1,,61,17,[],1
15.0,1995-96,30,8,,2,40,0,4,2,10,BUF,6,34,2,NHL,1,,57,16,[],1
100.0,1995-96,2,0,,0,1,0,1,1,0,COL,1,34,0,NHL,0,,4,1,[],0
12.5,1996-97,8,1,,1,16,0,1,-1,2,OTT,2,35,1,NHL,1,,34,4,[],0
