assists,team,goals,year,games_played,points,pim,age,plus_minus,league
20,Prince Albert Raiders,3,1972-73,46,23,0,17,0,SJHL
10,Saskatoon Blades,2,1973-74,62,12,198,18,0,WCJHL
38,Saskatoon Blades,4,1974-75,64,42,242,19,0,WCJHL
0,Dallas Black Hawks,0,1975-76,5,0,11,20,0,CHL
13,Flint Generals,3,1975-76,67,16,145,20,0,IHL
51,Flint Generals,12,1976-77,78,63,213,21,0,IHL
11,Dallas Black Hawks,5,1977-78,67,16,172,22,0,CHL
6,New Brunswick Hawks,3,1978-79,41,9,104,23,0,AHL
20,New Brunswick Hawks,3,1979-80,77,23,161,24,0,AHL
30,Schwenninger ERC,22,1980-81,39,52,122,25,0,W.German
1,Maine Mariners,1,1980-81,2,2,0,25,0,AHL
8,Maine Mariners,6,1981-82,21,14,57,26,0,AHL
10,Maine Mariners,5,1982-83,23,15,79,27,0,AHL
1,Maine Mariners,3,1983-84,14,4,27,28,0,AHL
0,Maine Mariners,0,1985-86,8,0,6,30,0,AHL
