assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,Czech Republic,1,1991-92,4,2,0,17,0,EJC-A
11,Dukla Trencin,2,1993-94,33,13,0,19,0,Slovakia
0,Dukla Trencin,2,1994-95,18,2,0,20,0,Slovakia
5,HC Nitra,6,1995-96,39,11,0,21,0,Slovakia
5,HC Slovan Harvard Bratislava,1,1996-97,34,6,41,22,0,Slovakia
0,HC Slovan Bratislava,0,1996-97,4,0,0,22,0,EuroHL
7,HC Slovan Harvard Bratislava,8,1997-98,35,15,41,23,0,Slovakia
1,HC Slovan Bratislava,2,1997-98,6,3,6,23,0,EuroHL
0,SK Iskra Banska Bystrica,1,1997-98,5,1,16,23,0,Slovak-2
0,HC Slovan Bratislava,0,1998-99,6,0,14,24,0,EuroHL
10,HC Slovan Harvard Bratislava,5,1998-99,40,15,61,24,0,Slovakia
0,Slovakia,0,1998-99,6,0,2,24,0,WC-A
7,HC Slovan Harvard Bratislava,2,1999-00,41,9,61,25,0,Slovakia
5,HC Slovan Harvard Bratislava,2,2000-01,25,7,6,26,0,Slovakia
13,HC Slovan Harvard Bratislava,7,2001-02,50,20,22,27,0,Slovakia
0,Slovakia,0,2001-02,3,0,4,27,4,WC-A
14,Rochester Americans,6,2002-03,58,20,41,28,7,AHL
6,HC Slovan Bratislava,1,2003-04,35,7,84,29,0,Slovakia
7,HC Slovan Slovnaft Bratislava,4,2004-05,44,11,34,30,0,Slovakia
3,HC Slovan Bratislava,1,2005-06,31,4,18,31,0,Slovakia
