shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1974-75,8,0,,0,25,0,0,-14,4,NEW,0,21,0,WHA,0,,26,4,[],0
1.7,1975-76,62,0,,0,118,0,2,-3,23,NEW,2,22,0,WHA,0,,78,25,[],0
11.0,1976-77,79,0,,0,118,0,13,-24,9,NEW,13,23,0,WHA,0,,74,22,[],0
7.2,1977-78,140,0,,0,152,0,11,17,18,NEW,11,24,0,WHA,0,,79,29,[],0
7.1,1978-79,148,0,,0,141,0,10,-1,19,NEW,10,25,0,WHA,0,,77,29,[],0
12.1,1979-80,114,21,,0,107,1,11,10,22,TOT,13,26,2,NHL,0,,74,35,[],2
7.5,1979-80,69,15,,0,40,0,3,9,15,HAR,3,26,1,NHL,0,,37,18,[],0
14.9,1979-80,45,6,,0,67,1,8,1,7,WSH,10,26,1,NHL,0,,37,17,[],2
4.5,1980-81,198,15,,0,110,4,5,-7,19,WSH,5,27,0,NHL,0,,76,24,[],0
9.7,1981-82,84,7,,0,31,0,3,0,7,TOT,3,28,0,NHL,0,,35,10,[],0
7.7,1981-82,19,1,,0,13,0,1,-3,1,WSH,1,28,0,NHL,0,,17,2,[],0
11.1,1981-82,65,6,,0,18,0,2,3,6,LAK,2,28,0,NHL,0,,18,8,[],0
