assists,year,games_played,points,goals,team,age,pim,plus_minus,league
5,1993-94,43,7,2,Cap-de-Madeleine Estacades,16,26,0,QAAA
2,1994-95,50,5,3,Shawinigan Cataractes,17,28,0,QMJHL
13,1995-96,69,15,2,Shawinigan Cataractes,18,129,0,QMJHL
37,1996-97,70,49,12,2 Teams,19,137,0,QMJHL
18,1996-97,38,24,6,Shawinigan Cataractes,19,103,0,QMJHL
19,1996-97,32,25,6,Hull Olympiques,19,34,0,QMJHL
8,1997-98,67,10,2,Hamilton Bulldogs,20,70,10,AHL
12,1998-99,74,18,6,Hamilton Bulldogs,21,49,8,AHL
13,1999-00,61,18,5,2 Teams,22,35,-20,AHL
7,1999-00,49,12,5,Hamilton Bulldogs,22,29,-17,AHL
6,1999-00,12,6,0,Quebec Citadelles,22,6,-3,AHL
27,2000-01,73,43,16,Quebec Citadelles,23,38,0,AHL
14,2001-02,65,20,6,Quebec Citadelles,24,34,-16,AHL
3,2002-03,48,6,3,Utah Grizzlies,25,47,-3,AHL
0,2003-04,6,0,0,Tappara Tampere,26,4,0,Finland
1,2003-04,6,1,0,Sport Vaasa,26,35,0,Finland-2
2,2003-04,5,3,1,HC Asiago,26,2,0,Italy
16,2004-05,48,27,11,Kansas City Outlaws,27,24,-9,UHL
18,2005-06,49,25,7,Wolfe Freiburg,28,80,0,German-2
22,2006-07,30,28,6,Quebec RadioX,29,16,0,QNAHL
13,2007-08,38,19,6,Thetford Mines Isothermic,30,41,0,QNAHL
