year,age,goals,pim,assists,plus_minus,league,games_played,team,points
2005-06,15,0,0,0,0,Swiss-Jr.,5,SC Bern Future Jr.,0
2006-07,16,14,28,16,0,Swiss-Jr.,33,SC Bern Future Jr.,30
2006-07,16,1,2,1,0,Swiss-2,5,Switzerland U20,2
2006-07,16,0,0,1,0,Swiss,3,SC Bern,1
2006-07,16,0,0,0,0,WJC-A,6,Switzerland,0
2006-07,16,1,2,1,0,WJ18-A,6,Switzerland,2
2006-07,16,0,0,1,0,Swiss-A,3,Bern,1
2006-07,16,1,2,1,0,Swiss-B,5,Swiss Under-20 Team,2
2007-08,17,2,10,6,0,Swiss,35,SC Bern,8
2007-08,17,0,4,1,0,WJC-A,6,Switzerland,1
2007-08,17,1,4,4,0,WJ18-A,6,Switzerland,5
2007-08,17,2,4,1,0,Swiss-2,5,2 Teams,3
2007-08,17,2,10,6,0,Swiss-A,35,Bern,8
2007-08,17,2,4,1,0,Swiss-B,5,Neuchatel Young-Sprinters,3
2007-08,17,0,0,1,0,Swiss-2,2,Switzerland U20,1
2007-08,17,2,4,0,0,Swiss-2,3,HC Neuchatel,2
2008-09,18,7,16,17,0,Swiss,42,SC Bern,24
2008-09,18,3,6,2,10,WJC-B,5,Switzerland,5
2008-09,18,0,2,0,-1,WC-A,6,Switzerland,0
2008-09,18,7,16,17,12,Swiss-A,42,Bern,24
2009-10,19,9,12,12,0,Swiss,26,SC Bern,21
2009-10,19,1,0,2,3,WJC-A,4,Switzerland,3
2009-10,19,1,0,2,0,WC-A,7,Switzerland,3
2009-10,19,9,12,12,5,Swiss-A,26,Bern,21
2010-11,20,6,22,34,-7,AHL,69,Milwaukee Admirals,40
2011-12,21,0,0,1,0,WC-A,3,Switzerland,1
2011-12,21,1,0,3,0,AHL,5,Milwaukee Admirals,4
2012-13,22,6,14,11,0,Swiss,26,SC Bern,17
2012-13,22,4,4,5,2,WC-A,10,Switzerland,9
2012-13,22,6,14,11,6,Swiss-A,26,Bern,17
2013-14,23,2,2,6,-2,Internationa,14,Switzerland (all),8
2013-14,23,1,2,6,-1,WC,7,Switzerland,7
2013-14,23,0,0,0,0,Olympics,4,Switzerland,0
2014-15,24,2,2,2,4,WC,8,Switzerland,4
2016-17,26,0,2,0,-1,WCup,6,Team Europe,0
