pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Niagara Falls Flyers,0,0,1,OHA-Jr.,15,1964-65,16,1
12,Niagara Falls Flyers,7,0,15,OHA-Jr.,39,1965-66,17,8
42,Niagara Falls Flyers,35,0,66,OHA-Jr.,44,1966-67,18,31
61,Niagara Falls Flyers,36,0,73,OHA-Jr.,50,1967-68,19,37
62,Oklahoma City Blazers,40,0,80,CHL,65,1968-69,20,40
63,Oklahoma City Blazers,23,0,52,CHL,63,1969-70,21,29
6,Richmond Robins,18,0,29,AHL,22,1974-75,26,11
38,Buffalo Norsemen,31,0,61,NAPro,37,1975-76,27,30
8,Brantford Alexanders,13,0,22,OHA-Sr.,11,1976-77,28,9
19,Erie Blades,20,0,38,NAPro,28,1976-77,28,18
4,Brantford Alexanders,28,0,43,OHA-Sr.,33,1977-78,29,15
