assists,team,goals,year,games_played,points,pim,age,plus_minus,league
7,Winnipeg Braves,7,1963-64,26,14,18,17,0,MJHL
33,Winnipeg Braves,27,1964-65,45,60,22,18,0,MJHL
26,Oshawa Generals,15,1965-66,48,41,46,19,0,OHA-Jr.
20,Clinton Comets,17,1966-67,72,37,7,20,0,EHL
53,Clinton Comets,52,1967-68,72,105,20,21,0,EHL
1,Canada,4,1968-69,9,5,2,22,0,WEC-A
11,Cleveland Barons,25,1970-71,60,36,22,24,0,AHL
25,Cleveland Barons,22,1971-72,70,47,19,25,0,AHL
43,Providence Reds,21,1972-73,66,64,10,26,0,AHL
2,Jacksonville Barons,3,1973-74,9,5,0,27,0,AHL
36,Cape Cod Codders,23,1974-75,74,59,8,28,0,NAPro
16,BK Backen,16,1975-76,20,32,48,29,0,Sweden-2
3,BK Backen,14,1976-77,33,17,0,30,0,Sweden-2
