shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,won,bad_start,team
73,0,0,68,126,3,0,1975-76,0,0,2.38,WHA,0,5,80,1.24,0,0,.932,21,0,0,0,,0,INR
140,0,0,123,245,4,0,1976-77,0,0,4.16,WHA,0,17,98,0.36,0,0,.879,22,0,0,0,,0,INR
0,0,0,0,304,5,0,1981-82,0,2,4.34,NHL,0,22,0,0,3,0,0,27,0,0,0,,0,PIT
