shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
38,0,0,34,59,1,0,1974-75,0,0,4.07,WHA,0,4,0,0,0,0,.895,20,0,0,[],0,0,0,INR
942,0,0,857,1860,31,0,1975-76,0,0,0,WHA,0,85,79,22.94,0,0,.910,21,0,2,"[{'link': '/awards/hatskin.html#1976', 'name': None}]",0,0,0,INR
1179,0,0,1051,2286,42,0,1976-77,0,0,3.36,WHA,0,128,93,9.16,0,0,.891,22,0,0,[],1,0,0,INR
1220,0,0,1080,2356,45,0,1977-78,0,0,3.57,WHA,0,140,92,11.48,0,0,.885,23,0,26,[],0,0,0,CNS
735,0,0,642,1681,30,0,1978-79,0,0,3.32,WHA,0,93,106,-5.45,0,0,.873,24,0,2,[],0,0,0,CNS
0,0,6,0,2773,50,0,1979-80,0,15,3.70,NHL,0,171,0,0,25,0,0,25,6.6,8,[],2,0,0,QUE
0,0,6,0,1445,26,1,1980-81,0,3,5.07,NHL,0,122,0,0,14,0,0,26,1.6,2,[],0,1,0,TOT
0,0,3,0,688,12,1,1980-81,0,0,5.32,NHL,0,61,0,0,8,0,0,26,0.6,0,[],0,1,0,QUE
0,0,3,0,757,14,0,1980-81,0,3,4.83,NHL,0,61,0,0,6,0,0,26,1.1,2,[],0,0,0,WIN
0,0,12,0,3580,62,1,1981-82,0,25,3.79,NHL,0,226,0,0,24,0,0,27,10.5,4,"[{'link': '/awards/voting-1982.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1982.html#vezina', 'name': 'Vezina-3'}]",0,1,0,PIT
0,0,4,0,2791,49,2,1982-83,0,12,4.26,NHL,0,198,0,0,30,0,0,28,6.0,8,[],0,2,0,PIT
937,0,4,799,1553,30,1,1983-84,0,2,5.33,NHL,0,138,116,-19.46,19,0,.853,29,3.6,2,[],0,1,0,PIT
316,0,0,273,553,10,1,1984-85,0,3,4.67,NHL,0,43,0,0,6,0,.864,30,1.5,0,[],0,1,0,PIT
