average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
5:38,0,5,2,0,0,NHL,26,2,0,107,2,12,0,3,0,0,0,0,0,2006-07,DAL,3,0,2,0,25.0,147,26,[]
6:30,37,3,0,0,6,NHL,27,2,0,105,-3,23,0.0,1,2,0,0,0,10,2007-08,DAL,1,72,2,10,4.3,312,48,[]
6:27,41,9,1,0,14,NHL,28,5,2,133,1,27,28.6,4,5,0,0,0,9,2008-09,DAL,4,123,5,13,14.8,465,72,[]
7:03,52,6,0,0,13,NHL,29,6,0,130,0,29,0.0,0,3,0,0,0,11,2009-10,DAL,0,120,6,10,0.0,444,63,[]
5:13,23,3,0,0,2,NHL,30,1,2,80,-7,16,50.0,2,2,0,0,0,3,2010-11,DAL,2,53,1,12,12.5,230,44,[]
7:21,43,5,0,0,10,NHL,31,3,2,114,0,24,28.6,2,5,0,0,0,5,2011-12,TOT,2,67,3,5,8.3,375,51,[]
6:43,7,0,0,0,2,NHL,31,0,0,23,-2,2,0,0,0,0,0,0,2,2011-12,DAL,0,17,0,1,0.0,67,10,[]
7:30,36,5,0,0,8,NHL,31,3,2,91,2,22,28.6,2,5,0,0,0,3,2011-12,FLA,2,50,3,4,9.1,308,41,[]
5:51,9,0,0,0,3,NHL,32,0,1,44,1,4,50.0,0,1,0,0,0,0,2012-13,NJD,0,25,0,2,0.0,129,22,[]
5:59,31,4,0,0,6,NHL,33,4,1,99,-10,19,100.0,0,0,0,0,0,4,2013-14,FLA,0,64,4,2,0.0,329,55,[]
