points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/hynesjo01c.html', 'name': 'J. Hynes'}]",NHL,NJD,2017-18,0,0,0,New Jersey Devils,0,,0,0,
70,"[{'link': '/coaches/hynesjo01c.html', 'name': 'J. Hynes'}]",NHL,NJD,2016-17,28,40,14,New Jersey Devils,.427,,0,82,8th
84,"[{'link': '/coaches/hynesjo01c.html', 'name': 'J. Hynes'}]",NHL,NJD,2015-16,38,36,8,New Jersey Devils,.512,,0,82,7th
78,"[{'link': '/coaches/deboepe99c.html', 'name': 'P. DeBoer'}, {'link': '/coaches/benchnj01c.html', 'name': 'N. Bench'}]",NHL,NJD,2014-15,32,36,14,New Jersey Devils,.476,,0,82,7th
88,"[{'link': '/coaches/deboepe99c.html', 'name': 'P. DeBoer'}]",NHL,NJD,2013-14,35,29,18,New Jersey Devils,.537,,0,82,6th
48,"[{'link': '/coaches/deboepe99c.html', 'name': 'P. DeBoer'}]",NHL,NJD,2012-13,19,19,10,New Jersey Devils,.500,,0,48,5th
102,"[{'link': '/coaches/deboepe99c.html', 'name': 'P. DeBoer'}]",NHL,NJD,2011-12,48,28,6,New Jersey Devils,.622,Lost Stanley Cup Final,0,82,4th
81,"[{'link': '/coaches/maclejo01c.html', 'name': 'J. MacLean'}, {'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,2010-11,38,39,5,New Jersey Devils,.494,,0,82,4th
103,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,2009-10,48,27,7,New Jersey Devils,.628,Lost NHL Conference Quarter-Finals,0,82,1st
106,"[{'link': '/coaches/suttebr02c.html', 'name': 'B. Sutter'}]",NHL,NJD,2008-09,51,27,4,New Jersey Devils,.646,Lost NHL Conference Quarter-Finals,0,82,1st
99,"[{'link': '/coaches/suttebr02c.html', 'name': 'B. Sutter'}]",NHL,NJD,2007-08,46,29,7,New Jersey Devils,.604,Lost NHL Conference Quarter-Finals,0,82,2nd
107,"[{'link': '/coaches/juliecl01c.html', 'name': 'C. Julien'}, {'link': '/coaches/lamorlo99c.html', 'name': 'L. Lamoriello'}]",NHL,NJD,2006-07,49,24,9,New Jersey Devils,.652,Lost NHL Conference Semi-Finals,0,82,1st
101,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}, {'link': '/coaches/lamorlo99c.html', 'name': 'L. Lamoriello'}]",NHL,NJD,2005-06,46,27,9,New Jersey Devils,.616,Lost NHL Conference Semi-Finals,0,82,1st
100,"[{'link': '/coaches/burnspa99c.html', 'name': 'P. Burns'}]",NHL,NJD,2003-04,43,25,2,New Jersey Devils,.610,Lost NHL Conference Quarter-Finals,12,82,2nd
108,"[{'link': '/coaches/burnspa99c.html', 'name': 'P. Burns'}]",NHL,NJD,2002-03,46,20,6,New Jersey Devils,.659,,10,82,1st
95,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}, {'link': '/coaches/constke99c.html', 'name': 'K. Constantine'}]",NHL,NJD,2001-02,41,28,4,New Jersey Devils,.579,Lost NHL Conference Quarter-Finals,9,82,3rd
111,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,NJD,2000-01,48,19,3,New Jersey Devils,.677,Lost Stanley Cup Final,12,82,1st
103,"[{'link': '/coaches/ftorero01c.html', 'name': 'R. Ftorek'}, {'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,NJD,1999-00,45,24,5,New Jersey Devils,.628,,8,82,2nd
105,"[{'link': '/coaches/ftorero01c.html', 'name': 'R. Ftorek'}]",NHL,NJD,1998-99,47,24,0,New Jersey Devils,.640,Lost NHL Conference Quarter-Finals,11,82,1st
107,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,1997-98,48,23,0,New Jersey Devils,.652,Lost NHL Conference Quarter-Finals,11,82,1st
104,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,1996-97,45,23,0,New Jersey Devils,.634,Lost NHL Conference Semi-Finals,14,82,1st
86,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,1995-96,37,33,0,New Jersey Devils,.524,,12,82,6th
52,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,1994-95,22,18,0,New Jersey Devils,.542,,8,48,2nd
106,"[{'link': '/coaches/lemaija01c.html', 'name': 'J. Lemaire'}]",NHL,NJD,1993-94,47,25,0,New Jersey Devils,.631,Lost NHL Conference Finals,12,84,2nd
87,"[{'link': '/coaches/brookhe99c.html', 'name': 'H. Brooks'}]",NHL,NJD,1992-93,40,37,0,New Jersey Devils,.518,Lost NHL Division Semi-Finals,7,84,4th
87,"[{'link': '/coaches/mcvieto99c.html', 'name': 'T. McVie'}]",NHL,NJD,1991-92,38,31,0,New Jersey Devils,.544,Lost NHL Division Semi-Finals,11,80,4th
79,"[{'link': '/coaches/cunnijo99c.html', 'name': 'J. Cunniff'}, {'link': '/coaches/mcvieto99c.html', 'name': 'T. McVie'}]",NHL,NJD,1990-91,32,33,0,New Jersey Devils,.494,Lost NHL Division Semi-Finals,15,80,4th
83,"[{'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}, {'link': '/coaches/cunnijo99c.html', 'name': 'J. Cunniff'}]",NHL,NJD,1989-90,37,34,0,New Jersey Devils,.519,Lost NHL Division Semi-Finals,9,80,2nd
66,"[{'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}]",NHL,NJD,1988-89,27,41,0,New Jersey Devils,.413,,12,80,5th
82,"[{'link': '/coaches/carpedo99c.html', 'name': 'D. Carpenter'}, {'link': '/coaches/schoeji01c.html', 'name': 'J. Schoenfeld'}]",NHL,NJD,1987-88,38,36,0,New Jersey Devils,.513,Lost NHL Conference Finals,6,80,4th
64,"[{'link': '/coaches/carpedo99c.html', 'name': 'D. Carpenter'}]",NHL,NJD,1986-87,29,45,0,New Jersey Devils,.400,,6,80,6th
59,"[{'link': '/coaches/carpedo99c.html', 'name': 'D. Carpenter'}]",NHL,NJD,1985-86,28,49,0,New Jersey Devils,.369,,3,80,6th
54,"[{'link': '/coaches/carpedo99c.html', 'name': 'D. Carpenter'}]",NHL,NJD,1984-85,22,48,0,New Jersey Devils,.338,,10,80,5th
41,"[{'link': '/coaches/macmibi01c.html', 'name': 'B. MacMillan'}, {'link': '/coaches/mcvieto99c.html', 'name': 'T. McVie'}]",NHL,NJD,1983-84,17,56,0,New Jersey Devils,.256,,7,80,5th
48,"[{'link': '/coaches/macmibi01c.html', 'name': 'B. MacMillan'}]",NHL,NJD,1982-83,17,49,0,New Jersey Devils,.300,,14,80,5th
49,"[{'link': '/coaches/marshbe01c.html', 'name': 'B. Marshall'}, {'link': '/coaches/johnsma01c.html', 'name': 'M. Johnston'}]",NHL,CLR,1981-82,18,49,0,Colorado Rockies,.306,,13,80,5th
57,"[{'link': '/coaches/macmibi01c.html', 'name': 'B. MacMillan'}]",NHL,CLR,1980-81,22,45,0,Colorado Rockies,.356,,13,80,5th
51,"[{'link': '/coaches/cherrdo01c.html', 'name': 'D. Cherry'}]",NHL,CLR,1979-80,19,48,0,Colorado Rockies,.319,,13,80,6th
