age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
18,,27.3,0,4,-1,NHL,7,1,1988-89,0,11,3,,2,8,,VAN,7
20,,0.0,0,7,3,NHL,6,0,1990-91,0,12,0,,0,2,,VAN,7
21,,10.8,2,8,5,NHL,13,0,1991-92,1,37,4,,2,6,,VAN,12
22,,22.7,3,8,4,NHL,12,0,1992-93,1,22,5,,2,16,,VAN,13
23,,17.9,6,13,3,NHL,0,1,1993-94,1,67,12,,5,18,,VAN,25
24,,10.5,1,6,-1,NHL,11,0,1994-95,0,19,2,,1,12,,VAN,8
25,,28.6,2,4,-1,NHL,6,0,1995-96,0,14,4,,2,6,,VAN,8
30,,0.0,0,4,-3,NHL,6,0,2000-01,0,17,0,136,0,14,,WSH,4
31,,10.0,1,4,1,NHL,6,0,2001-02,0,10,1,118,0,0,,VAN,5
32,,5.0,0,2,-4,NHL,14,1,2002-03,0,20,1,247,0,10,,VAN,3
33,,0.0,0,0,-3,NHL,7,0,2003-04,0,4,0,129,0,6,,VAN,0
36,,10.5,1,5,4,NHL,12,0,2006-07,2,19,2,207,1,6,,VAN,7
