average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,26,0,0,NHL,23,10,47,-7,98,3,0,0,13,1987-88,QUE,3,23,[],3.1,,60
,37,2,1,NHL,24,19,67,12,98,6,2,0,9,1988-89,TOT,9,28,[],9.2,,60
,6,1,0,NHL,24,2,27,-6,16,1,1,0,2,1988-89,QUE,2,4,[],12.5,,14
,31,1,1,NHL,24,17,40,18,82,5,1,0,7,1988-89,NJD,7,24,[],8.5,,46
,29,0,0,NHL,25,14,63,-1,125,2,4,0,9,1989-90,NJD,6,23,[],4.8,,68
,14,0,0,NHL,26,3,44,1,66,1,1,1,8,1990-91,NJD,2,12,[],3.0,,47
,4,0,0,NHL,27,4,4,7,18,0,0,0,0,1991-92,NJD,0,4,[],0.0,,19
,6,1,0,NHL,28,3,14,0,33,0,1,0,2,1992-93,NJD,1,5,[],3.0,,36
,19,1,0,NHL,29,9,36,20,62,1,1,0,8,1993-94,NJD,2,17,[],3.2,,62
,15,0,0,NHL,30,10,20,9,60,3,2,0,0,1994-95,NJD,5,10,[],8.3,,48
,14,0,0,NHL,31,7,18,1,121,1,0,0,6,1995-96,TOT,1,13,[],0.8,,73
,13,0,0,NHL,31,7,14,0,90,1,0,0,5,1995-96,NJD,1,12,[],1.1,,53
,1,0,0,NHL,31,0,4,1,31,0,0,0,1,1995-96,CGY,0,1,[],0.0,,20
,15,0,0,NHL,32,4,14,-8,103,2,2,0,7,1996-97,CGY,4,11,[],3.9,,72
,19,2,0,NHL,33,11,32,9,88,1,1,3,3,1997-98,CGY,2,17,[],2.3,,69
19:08,6,0,0,NHL,34,4,8,-11,54,1,0,1,0,1998-99,CGY,1,5,[],1.9,1148,60
21:35,10,1,1,NHL,35,4,12,-3,37,2,1,1,1,1999-00,CGY,4,6,[],10.8,885,41
20:53,20,0,0,NHL,36,9,22,2,69,0,1,0,10,2000-01,CGY,1,19,[],1.4,1608,77
13:20,4,1,0,NHL,37,3,4,0,33,1,0,0,0,2001-02,NJD,1,3,[],3.0,560,42
15:13,7,0,1,NHL,38,5,6,10,30,0,0,0,1,2002-03,NJD,1,6,[],3.3,563,37
14:48,4,0,0,NHL,39,2,4,7,27,1,0,0,1,2003-04,NJD,1,3,[],3.7,666,45
13:59,6,0,0,NHL,41,5,2,4,15,0,0,0,1,2005-06,NJD,0,6,[],0.0,503,36
