power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,1,0,NHL,1990-91,26,0,NJD,,1,2,1,0,6,,,0.0,0
0,1,2,0,NHL,1991-92,27,1,NJD,,1,0,0,0,1,,,100.0,1
1,5,2,1,NHL,1992-93,28,2,NJD,,0,0,-1,0,9,,,22.2,1
1,20,7,1,NHL,1993-94,29,2,NJD,,5,14,5,0,30,,,6.7,1
0,0,8,0,NHL,1994-95,30,1,NJD,,7,2,5,0,17,,SC,5.9,1
0,4,0,0,NHL,1995-96,31,0,CGY,,0,0,-2,0,8,,,0.0,0
0,6,0,0,NHL,2001-02,37,0,NJD,14:11,0,0,-4,0,6,85,,0.0,0
0,16,1,0,NHL,2002-03,38,1,NJD,14:18,0,2,3,0,6,229,SC,16.7,1
0,4,1,0,NHL,2003-04,39,0,NJD,13:13,1,0,1,0,2,53,,0.0,0
0,2,0,0,NHL,2005-06,41,0,NJD,10:38,0,2,0,0,0,21,,0,0
