goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
1.1,0,NHL,4,TOR,210,20,2,0,0,8,0,0,1,0,0,0,0,0,0,.933,1991-92,120,2.29,0,[],112
9.3,0,NHL,48,TOR,2781,21,15,78,1,116,0,32.00,7,2,25,1,0,0,0,.910,1992-93,1286,0,4,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1993.html#calder', 'name': 'Calder-3'}, {'link': '/awards/voting-1993.html#vezina', 'name': 'Vezina-4'}]",1170
12.9,0,NHL,66,TOR,3883,22,22,89,4,187,0,23.90,9,3,34,4,0,0,0,.907,1993-94,2010,2.89,4,[],1823
6.9,0,NHL,36,TOR,2144,23,13,93,0,104,0,7.35,7,0,15,0,0,0,0,.907,1994-95,1120,2.91,4,[],1016
13.8,0,NHL,69,TOR,4009,24,26,89,0,192,0,24.87,11,2,30,0,0,0,0,.910,1995-96,2135,2.87,4,[],1943
14.1,0,NHL,0,TOR,0,25,0,96,3,0,0,8.28,7,0,27,3,0,0,0,.908,1996-97,0,3.15,19,[],0
11.2,0,NHL,67,TOR,3864,26,0,100,0,176,0,0.46,7,5,26,0,0,0,0,.906,1997-98,1882,2.73,8,[],1706
1.6,0,NHL,16,TOT,905,27,9,125,0,56,0,-11.09,1,0,5,0,0,0,0,.885,1998-99,487,3.71,0,[],431
0.2,0,NHL,5,TOR,299,27,2,0,0,19,0,0,0,0,3,0,0,0,0,.866,1998-99,142,3.81,0,[],123
1.5,0,NHL,11,NYI,606,27,7,116,0,37,0,-5.19,1,0,2,0,0,0,0,.893,1998-99,345,3.66,0,[],308
8.7,0,NHL,56,TOT,3239,28,27,104,2,153,0,-5.95,10,1,17,2,0,0,0,.901,1999-00,1538,2.83,4,[],1385
3.0,0,NHL,22,NYI,1273,28,14,113,0,68,0,-7.58,3,1,5,0,0,0,0,.892,1999-00,632,3.21,2,[],564
5.7,0,NHL,34,VAN,1966,28,13,98,2,85,0,1.62,7,0,12,2,0,0,0,.906,1999-00,906,2.59,2,[],821
8.5,0,NHL,58,TOT,3416,29,22,104,5,149,0,-5.34,8,6,27,5,0,0,0,.900,2000-01,1485,2.62,4,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-12'}]",1336
4.0,0,NHL,35,VAN,2006,29,17,116,2,103,0,-14.58,3,1,14,2,0,0,0,.887,2000-01,914,3.08,2,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-12'}]",811
4.5,0,NHL,23,LAK,1410,29,5,83,3,46,0,9.24,5,5,13,3,0,0,0,.919,2000-01,571,1.96,2,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-12'}]",525
10.2,0,NHL,71,LAK,4071,30,27,101,1,157,0,-1.47,8,6,31,1,0,0,0,.907,2001-02,1686,2.31,19,"[{'link': '/awards/voting-2002.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2002.html#vezina', 'name': 'Vezina-7'}]",1529
4.3,0,NHL,42,LAK,2367,31,20,117,0,105,0,-15.02,3,3,17,0,0,0,0,.894,2002-03,987,2.66,4,[],882
3.6,0,NHL,28,BOS,1605,32,8,109,0,67,0,-5.55,6,4,12,0,0,0,0,.903,2003-04,690,2.50,8,[],623
