average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
6:58,0,0,0,0,0,NHL,21,0,0,0,0,0,0,0,0,0,0,0,0,2000-01,EDM,0,0,0,0,0,7,1,[]
12:44,0,1,0,0,0,NHL,22,0,0,0,-3,3,0,1,0,0,0,0,0,2001-02,EDM,1,0,0,0,33.3,38,3,[]
10:46,0,23,4,1,0,NHL,23,8,0,36,-2,90,0,13,0,0,0,1,0,2002-03,EDM,14,0,9,0,15.6,710,66,[]
10:07,0,12,1,0,0,NHL,24,7,0,57,-1,79,0,4,0,0,0,1,0,2003-04,EDM,4,0,8,0,5.1,607,60,[]
12:41,0,30,5,1,0,NHL,26,13,0,95,-10,127,0,15,0,1,0,0,0,2005-06,CBJ,17,0,13,0,13.4,1014,80,[]
15:22,0,36,2,2,0,NHL,27,19,0,91,2,151,0,11,0,2,0,2,0,2006-07,CBJ,15,0,21,0,9.9,1260,82,[]
17:30,306,31,3,1,15,NHL,28,13,16,98,-5,198,45.7,12,19,1,0,4,19,2007-08,CBJ,14,73,17,22,7.1,1417,81,[]
16:15,190,22,1,0,11,NHL,29,13,18,41,8,115,42.9,7,24,1,0,1,15,2008-09,CBJ,8,61,14,19,7.0,796,49,[]
13:42,235,34,1,0,16,NHL,30,19,22,98,-1,160,55.0,14,18,1,0,0,16,2009-10,TOT,15,78,19,24,9.4,1068,78,[]
14:47,122,17,1,0,6,NHL,30,9,15,47,-7,92,65.2,7,8,1,0,0,6,2009-10,CBJ,8,28,9,14,8.7,576,39,[]
12:36,113,17,0,0,10,NHL,30,10,7,51,6,68,41.2,7,10,0,0,0,10,2009-10,WSH,7,50,10,10,10.3,492,39,[]
13:15,256,26,1,0,16,NHL,31,15,20,64,-10,162,51.3,8,19,2,0,1,26,2010-11,WSH,10,97,16,26,6.2,1074,81,[]
14:26,296,39,5,2,27,NHL,32,19,30,78,4,205,48.4,17,32,1,0,0,23,2011-12,WSH,20,132,19,26,9.8,1184,82,[]
12:40,139,14,0,0,12,NHL,33,11,21,48,-5,92,58.3,3,15,0,0,0,10,2012-13,WSH,3,73,11,20,3.3,596,47,[]
15:25,254,42,0,0,30,NHL,34,22,38,36,4,167,43.7,14,49,1,1,4,25,2013-14,WSH,15,140,27,30,9.0,1264,82,[]
12:56,179,19,2,0,18,NHL,35,12,43,51,-1,96,56.6,7,33,0,0,0,27,2014-15,WSH,7,132,12,15,7.3,996,77,[]
14:03,253,40,3,2,13,NHL,36,15,8,22,0,165,28.6,14,20,4,0,5,15,2015-16,WSH,20,103,20,32,12.1,1152,82,[]
13:04,180,33,2,1,30,NHL,37,13,16,40,1,121,47.1,19,18,0,0,0,20,2016-17,NYI,20,149,13,26,16.5,1071,0,[]
