won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,5,VAN,302,22,3,101,0,18,0,-0.21,0,0,2,0,0,0,0,.892,1988-89,167,3.58,0,149
,0,NHL,2,VAN,123,24,1,0,0,7,0,0,0,0,1,0,0,0,0,.894,1990-91,66,3.41,0,59
,0,NHL,13,VAN,785,25,7,87,1,33,0,4.74,0,0,6,1,0,0,0,.909,1991-92,364,2.52,0,331
,0,NHL,12,VAN,754,26,6,109,3,42,0,-3.54,0,0,6,3,0,0,0,.886,1992-93,369,3.34,0,327
,0,NHL,0,VAN,0,27,0,78,1,0,0,16.24,0,0,15,1,0,0,0,.928,1993-94,0,2.29,0,0
,0,NHL,11,VAN,660,28,0,100,1,36,0,0.12,0,0,4,1,0,0,0,.893,1994-95,336,3.27,0,300
,0,NHL,1,VAN,21,29,1,0,0,3,0,0,0,0,0,0,0,0,0,.750,1995-96,12,8.57,0,9
