assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1993-94,17,0,0,North Bay Centennials,17,2,0,OHL
0,1993-94,3,0,0,North Bay Centennials,17,0,0,M-Cup
0,1994-95,3,0,0,Sarnia Sting,18,2,0,OHL
7,1995-96,10,10,3,Sarnia Sting,19,2,0,OHL
10,1996-97,12,12,2,Sarnia Sting,20,10,0,OHL
4,1997-98,18,8,4,Philadelphia Phantoms,21,21,0,AHL
4,1998-99,15,5,1,Philadelphia Phantoms,22,6,0,AHL
6,2004-05,14,7,1,Adler Mannheim,28,12,0,Germany
1,2005-06,6,1,0,Syracuse Crunch,29,19,1,AHL
6,2006-07,15,6,0,Chicago Wolves,30,2,-2,AHL
1,2007-08,8,1,0,Hamburg Freezers,31,12,0,Germany
3,2008-09,9,4,1,Hamburg Freezers,32,8,0,Germany
3,2009-10,5,3,0,Abbotsford Heat,33,0,-3,AHL
6,2010-11,11,7,1,Lorenskog IK,34,20,0,Norway
4,2011-12,5,5,1,SV Renon,35,0,0,Italy
