pim,team,assists,plus_minus,points,league,games_played,year,age,goals
30,Cumberland Grads,27,0,40,ON-Jr.A,48,2004-05,17,13
64,Gatineau Olympiques,64,30,103,QMJHL,69,2005-06,18,39
49,Gatineau Olympiques,64,12,112,QMJHL,63,2006-07,19,48
6,Philadelphia Phantoms,1,-2,2,AHL,5,2006-07,19,1
37,Gatineau Olympiques,68,40,106,QMJHL,55,2007-08,20,38
8,Canada,4,4,6,WJC-A,7,2007-08,20,2
22,Philadelphia Phantoms,17,5,34,AHL,33,2008-09,21,17
6,Eisbaren Berlin,15,0,19,Germany,9,2012-13,25,4
12,Canada,5,4,8,WC-A,8,2012-13,25,3
4,Canada,7,11,10,WC,10,2014-15,27,3
0,Canada,0,0,0,WCup,1,2016-17,29,0
