bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,2.00,0,51,NHL,1,21,1.000,49,0,0,1,0,2,.961,2014-15,EDM,1,0.6,0,0,0,1,60
2,0,[],0,3.60,0,142,NHL,1,22,.200,124,0,0,5,0,18,.873,2015-16,EDM,4,0.1,0,1,0,5,300
0,0,[],0,1.99,0,153,NHL,2,23,.500,142,0,0,4,0,11,.928,2016-17,EDM,1,1.2,0,0,4,8,332
