goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1950-51,57,1320,0,0,0,0,0,0,Montreal Jr. Canadiens,1,0,0,2.59,17,QJHL,0,0,23,0,14,8
0,0,0,1951-52,100,2700,3,0,0,0,0,0,Montreal Jr. Canadiens,3,0,0,2.22,18,QJHL,0,0,45,0,32,10
0,0,0,1951-52,3,40,0,0,0,0,0,0,Montreal Royals,0,0,0,4.50,18,QMHL,0,0,1,0,0,0
0,0,0,1952-53,100,2640,0,0,0,0,0,0,Montreal Jr. Canadiens,5,0,0,2.27,19,QJHL,0,0,44,0,35,9
0,0,0,1952-53,4,60,0,0,0,0,0,0,Montreal Royals,0,0,0,4.00,19,QMHL,0,0,1,0,0,1
0,0,0,1953-54,145,3720,0,0,0,0,0,0,Cincinnati Mohawks,10,0,0,2.34,20,IHL,0,0,62,0,0,0
0,0,0,1953-54,10,180,0,0,0,0,0,0,Buffalo Bisons,0,0,0,3.33,20,AHL,0,0,3,0,2,1
0,0,0,1954-55,18,300,0,0,0,0,0,0,Providence Reds,1,0,0,3.60,21,AHL,0,0,5,0,3,2
0,0,0,1954-55,113,2100,1,0,0,0,0,0,Montreal Royals,2,0,0,3.23,21,QHL,0,0,35,0,17,17
0,0,0,1955-56,239,4245,2,0,0,0,0,0,Seattle Americans,6,0,0,3.38,22,WHL,0,0,70,0,31,37
0,0,0,1956-57,132,2460,4,0,0,0,0,0,Rochester Americans,2,0,0,3.22,23,AHL,0,0,41,0,18,18
0,0,0,1956-57,39,859,2,0,0,0,0,0,Shawinigan Cataracts,2,0,0,2.72,23,QHL,0,0,14,0,7,5
0,0,0,1957-58,153,2880,4,0,0,0,0,0,Montreal Royals,4,0,0,3.19,24,QHL,0,0,48,0,23,21
0,0,0,1958-59,67,1440,1,0,0,0,0,0,Montreal Royals,1,0,0,2.79,25,QHL,0,0,24,0,15,8
0,0,0,1958-59,12,240,0,0,0,0,0,0,Rochester Americans,0,0,0,3.00,25,AHL,0,0,4,0,0,4
0,0,0,1959-60,170,3540,11,0,0,0,0,0,2 Teams,7,0,0,2.88,26,EPHL,0,0,59,0,30,18
0,0,0,1959-60,96,1980,6,0,0,0,0,0,Montreal Royals,5,0,0,2.91,26,EPHL,0,0,33,0,15,12
0,0,0,1959-60,74,1560,5,0,0,0,0,0,Hull-Ottawa Canadiens,2,0,0,2.85,26,EPHL,0,0,26,0,15,6
0,0,0,1960-61,74,1320,4,0,0,0,0,0,Montreal Royals,0,0,0,3.36,27,EPHL,0,0,22,0,5,13
0,0,0,1961-62,185,3900,4,0,0,0,0,0,Quebec Aces,5,0,0,2.85,28,AHL,0,0,65,0,28,33
0,0,0,1962-63,190,4020,11,0,0,0,0,0,Quebec Aces,4,0,0,2.84,29,AHL,0,0,67,0,31,25
0,0,0,1963-64,32,600,0,0,0,0,0,0,Quebec Aces,1,0,0,3.20,30,AHL,0,0,10,0,4,6
0,0,0,1968-69,32,779,4,0,0,0,0,0,Vancouver Canucks,0,0,0,2.46,35,WHL,0,0,13,0,7,2
