goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1954-55,6,,84,0,0,0,0,0,0,MTL,0,0,0,4.29,21,NHL,0,0,4,0,1,2
0,0,0,1963-64,16,,420,0,0,0,0,0,0,MTL,1,0,0,2.29,30,NHL,0,0,7,0,3,4
0,0,0,1964-65,10,SC,300,0,0,0,0,0,0,MTL,1,0,0,2.00,31,NHL,0,0,5,0,3,2
