shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
73,0,1,63,125,2,0,1986-87,0,0,4.80,NHL,0,10,0,0,1,0,.863,22,0.3,0,[],0,0,0,CGY
628,0,2,539,1221,25,2,1987-88,0,8,4.37,NHL,0,89,118,-13.54,7,0,.858,23,2.3,2,[],0,2,0,CGY
