average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
,0,32,2,0,0,NHL,22,16,0,45,7,89,0,11,0,4,0,1,0,1996-97,EDM,15,0,17,0,16.9,,79,"[{'link': '/awards/voting-1997.html#calder', 'name': 'Calder-8'}]"
,0,15,1,0,0,NHL,23,6,0,73,-3,90,0,8,0,1,0,0,0,1997-98,EDM,9,0,6,0,10.0,,66,[]
15:57,0,44,1,2,0,NHL,24,22,0,54,5,143,0,15,0,3,0,2,0,1998-99,EDM,20,0,24,0,14.0,1308,82,[]
15:45,0,31,2,3,0,NHL,25,20,0,68,9,115,0,6,0,0,1,1,0,1999-00,EDM,9,0,22,0,7.8,1024,65,[]
16:44,0,36,2,3,0,NHL,26,13,0,20,11,124,0,15,0,2,3,0,0,2000-01,EDM,20,0,16,0,16.1,1239,74,"[{'link': '/awards/voting-2001.html#selke', 'name': 'Selke-34'}]"
15:01,0,25,3,2,0,NHL,27,15,0,32,1,112,0,6,0,0,2,0,0,2001-02,EDM,8,0,17,0,7.1,1232,82,[]
17:48,0,32,2,2,0,NHL,28,11,0,36,-14,133,0,11,0,2,0,6,0,2002-03,WSH,15,0,17,0,11.3,1459,82,[]
17:26,0,29,0,1,0,NHL,29,16,0,36,-9,133,0,7,0,1,1,3,0,2003-04,TOT,9,0,20,0,6.8,1430,82,[]
17:25,0,20,0,1,0,NHL,29,10,0,32,-19,115,0,6,0,1,0,2,0,2003-04,WSH,8,0,12,0,7.0,1185,68,[]
17:29,0,9,0,0,0,NHL,29,6,0,4,10,18,0,1,0,0,1,1,0,2003-04,BUF,1,0,8,0,5.6,245,14,[]
14:22,0,23,4,0,0,NHL,31,15,0,28,-7,109,0,7,0,0,1,0,0,2005-06,BUF,7,0,16,0,6.4,1164,81,[]
16:26,0,33,1,3,0,NHL,32,16,0,43,-5,125,0,11,0,2,0,1,0,2006-07,SJS,16,0,17,0,12.8,1332,81,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-25'}]"
16:13,187,22,4,3,58,NHL,33,12,22,24,-8,132,25.6,5,64,1,1,0,33,2007-08,SJS,9,119,13,34,6.8,1264,78,"[{'link': '/awards/voting-2008.html#selke', 'name': 'Selke-14'}]"
15:00,174,23,2,1,34,NHL,34,10,15,25,8,108,34.9,9,28,0,3,0,16,2008-09,SJS,10,147,13,28,9.3,930,62,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-50'}]"
15:48,199,22,2,0,43,NHL,35,11,20,14,-4,123,38.5,10,32,0,1,0,22,2009-10,BUF,10,94,12,25,8.1,1153,73,"[{'link': '/awards/voting-2010.html#selke', 'name': 'Selke-40'}]"
14:24,165,16,0,0,48,NHL,36,11,10,12,0,107,32.3,5,21,0,0,0,26,2010-11,BUF,5,112,11,22,4.7,1051,73,[]
