power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,12,4,1,NHL,1996-97,22,3,EDM,,1,4,-2,0,21,,,14.3,2
0,12,4,1,NHL,1997-98,23,2,EDM,,2,13,4,0,14,,,14.3,2
0,4,2,0,NHL,1998-99,24,1,EDM,94,1,6,3,0,9,,,11.1,1
0,6,0,0,NHL,2000-01,26,0,EDM,128,0,8,-2,0,6,,,0.0,0
0,6,2,0,NHL,2002-03,28,1,WSH,108,1,2,0,0,10,,,10.0,1
0,18,8,0,NHL,2005-06,31,3,BUF,293,5,2,3,1,32,,,9.4,2
0,11,4,0,NHL,2006-07,32,2,SJS,190,2,27,1,0,31,,,6.5,2
0,13,1,0,NHL,2007-08,33,0,SJS,199,1,2,-2,0,22,39,,0.0,0
0,6,0,0,NHL,2008-09,34,0,SJS,63,0,6,-2,0,8,12,,0.0,0
0,6,2,0,NHL,2009-10,35,2,BUF,111,0,2,0,0,19,23,,10.5,2
0,7,1,0,NHL,2010-11,36,0,BUF,66,1,0,-3,0,5,7,,0.0,0
