age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
24,,50.0,1,8,-3,NHL,5,0,1980-81,0,4,2,,1,7,,QUE,10
25,,26.9,3,11,1,NHL,12,0,1981-82,1,26,7,,4,10,,QUE,18
26,,33.3,2,2,2,NHL,4,0,1982-83,0,9,3,,1,10,,QUE,5
27,,11.1,0,7,3,NHL,9,0,1983-84,0,18,2,,2,31,,QUE,9
28,,14.8,3,19,1,NHL,18,0,1984-85,2,27,4,,1,24,,QUE,23
29,,0.0,0,1,-5,NHL,3,0,1985-86,0,10,0,,0,2,,QUE,1
30,,25.0,3,9,3,NHL,13,1,1986-87,1,24,6,,2,12,,QUE,15
33,,33.3,2,2,-1,NHL,6,0,1989-90,1,9,3,,1,2,,NJD,5
34,,42.9,2,4,-2,NHL,7,0,1990-91,2,7,3,,1,2,,NJD,7
35,,25.0,3,7,1,NHL,7,0,1991-92,0,12,3,,0,19,,NJD,10
36,,0.0,0,2,0,NHL,5,0,1992-93,0,3,0,,0,2,,NJD,2
37,,0.0,0,0,-4,NHL,4,0,1993-94,0,3,0,,0,2,,STL,0
