pim,team,assists,plus_minus,points,league,games_played,year,age,goals
16,Plymouth Whalers,0,-8,0,OHL,46,2005-06,17,0
50,Plymouth Whalers,12,48,12,OHL,50,2006-07,18,0
70,Plymouth Whalers,18,0,24,OHL,56,2007-08,19,6
6,Albany River Rats,0,0,0,AHL,4,2007-08,19,0
39,Plymouth Whalers,10,22,12,OHL,29,2008-09,20,2
4,Albany River Rats,0,-3,0,AHL,6,2008-09,20,0
81,Albany River Rats,6,-5,7,AHL,75,2009-10,21,1
74,Charlotte Checkers,8,8,10,AHL,71,2010-11,22,2
60,Charlotte Checkers,9,-15,10,AHL,76,2011-12,23,1
87,Charlotte Checkers,11,11,13,AHL,68,2012-13,24,2
