won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,5,PHI,355,22,3,0,0,8,0,0,0,0,2,0,0,0,0,0,1967-68,0,0,0,0
,0,NHL,3,PHI,180,23,3,0,0,12,0,0,0,0,0,0,0,0,0,0,1968-69,0,4.00,0,0
,0,NHL,4,TOR,235,25,2,0,0,9,0,0,0,0,2,0,0,0,0,0,1970-71,0,2.30,0,0
,0,NHL,4,TOR,243,26,3,0,0,13,0,0,0,0,1,0,0,0,0,0,1971-72,0,3.21,0,0
,0,WHA,1,PHB,70,27,0,0,0,3,0,0,0,0,0,0,0,0,0,.929,1972-73,42,2.57,0,39
SC,0,NHL,0,PHI,0,28,5,0,0,35,0,0,0,0,0,0,0,0,0,0,1973-74,0,0,4,0
SC,0,NHL,0,PHI,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1974-75,0,0,0,0
,0,NHL,8,PHI,480,30,4,0,0,27,0,0,0,0,4,0,0,0,0,0,1975-76,0,3.38,0,0
,0,NHL,3,PHI,123,31,3,0,0,8,0,0,0,0,0,0,0,0,0,0,1976-77,0,3.90,0,0
,0,NHL,12,PHI,722,32,5,0,0,33,0,0,0,0,7,0,0,0,0,0,1977-78,0,2.74,0,0
