even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,CGY,0,0,21,0,,NHL,0,1,,1985-86,2,0.0,,0,0,0
2,1,CGY,2,0,22,0,,NHL,0,18,,1986-87,4,11.1,,0,3,4
3,2,STL,7,4,23,3,,NHL,0,39,,1987-88,10,17.9,,4,9,1
4,5,STL,5,6,24,2,,NHL,0,43,,1988-89,10,11.6,,1,10,-4
6,8,STL,13,17,25,3,,NHL,0,68,,1989-90,12,19.1,,7,21,1
8,8,STL,11,4,26,2,,NHL,0,58,,1990-91,13,19.0,,3,19,5
2,4,STL,4,4,27,1,,NHL,1,38,,1991-92,6,10.5,,1,8,2
3,5,STL,8,2,28,2,,NHL,0,52,,1992-93,11,15.4,,0,13,-2
1,1,STL,2,0,29,0,,NHL,0,22,,1993-94,4,9.1,,1,3,1
4,2,STL,6,0,30,0,,NHL,0,34,,1994-95,7,17.6,,2,8,0
3,5,STL,6,10,31,1,,NHL,1,52,,1995-96,13,11.5,,2,11,2
2,7,STL,2,2,32,0,,NHL,0,25,,1996-97,6,8.0,,0,9,4
2,3,STL,3,2,33,1,,NHL,0,32,,1997-98,10,9.4,,1,6,-3
5,7,DAL,8,4,34,2,407,NHL,0,0,18:29,1998-99,22,9.3,SC,3,15,3
0,0,DAL,0,4,35,0,460,NHL,0,0,19:59,1999-00,0,13.9,,3,0,3
1,5,DAL,2,6,36,0,202,NHL,0,41,20:10,2000-01,10,4.9,,1,7,-1
5,8,DET,0,4,37,2,412,NHL,0,61,17:54,2001-02,0,16.4,SC,3,18,1
0,1,DET,0,0,38,0,81,NHL,0,15,20:17,2002-03,4,0.0,,0,1,-4
2,2,DET,3,4,39,1,183,NHL,0,39,15:15,2003-04,12,7.7,,1,5,0
