assists,team,goals,year,games_played,points,pim,age,plus_minus,league
56,Penticton Knights,48,1982-83,50,104,27,18,0,BCJHL
83,Penticton Knights,105,1983-84,56,188,20,19,0,BCJHL
28,U. of Minnesota-Duluth,32,1984-85,48,60,24,20,0,WCHA
32,U. of Minnesota-Duluth,52,1985-86,42,84,46,21,0,WCHA
4,United States,7,1985-86,10,11,18,21,0,WEC-A
42,Moncton Golden Flames,50,1986-87,67,92,16,22,0,AHL
7,United States,2,1991-92,8,9,0,27,0,Can-Cup
4,United States,7,1996-97,7,11,4,32,0,W-Cup
1,United States,2,1997-98,4,3,0,33,0,Olympics
5,United States,3,2001-02,6,8,6,37,4,Olympics
0,United States,0,2004-05,2,0,2,40,0,W-Cup
