age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0.0,0,0,0,NHL,3,0,1983-84,0,2,0,,0,15,,PHI,0
21,,25.0,3,0,-2,NHL,11,0,1984-85,0,12,3,,0,10,,PHI,3
22,,22.2,2,0,2,NHL,5,0,1985-86,0,9,2,,0,19,,PHI,2
25,,15.4,2,1,1,NHL,7,0,1988-89,0,13,2,,0,12,,VAN,3
26,,11.1,1,1,-3,NHL,12,1,1989-90,1,18,2,,0,39,,STL,3
27,,19.0,4,2,2,NHL,13,0,1990-91,1,21,4,,0,16,,STL,6
28,,0.0,0,0,-3,NHL,6,0,1991-92,0,8,0,,0,8,,STL,0
29,,0.0,0,1,-6,NHL,11,0,1992-93,0,14,0,,0,10,,STL,1
30,,0.0,0,0,-1,NHL,6,0,1993-94,0,15,0,,0,2,,CHI,0
31,,0,0,0,-3,NHL,4,0,1994-95,0,0,0,,0,2,,TOR,0
