giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,13,0,23,0,0,14,2,0,1,107,CGY,0,0,[],7.1,1,1,-2,1,0,0,1998-99,0,8:15,0,10,0,0
0,NHL,56,1,24,0,0,73,18,0,0,823,CGY,0,0,[],4.1,3,15,-5,3,0,0,1999-00,0,14:41,0,22,1,14
0,NHL,78,4,25,0,0,141,40,0,4,1189,TBL,0,0,[],12.8,12,22,-4,18,0,3,2000-01,0,15:14,3,12,1,17
0,NHL,53,2,26,0,0,105,35,0,2,990,TBL,0,0,[],15.2,9,19,4,16,0,1,2001-02,0,18:41,6,20,1,16
0,NHL,82,5,27,0,0,201,70,0,7,1616,TBL,0,0,[],16.4,18,37,10,33,0,3,2002-03,0,19:43,12,32,1,29
0,NHL,82,7,28,0,0,212,0,0,22,1688,TBL,0,0,"[{'link': '/awards/nhl_all_star.html#2004', 'name': None}, {'link': '/awards/voting-2004.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2004.html#byng', 'name': 'Byng-3'}, {'link': '/awards/hart.html#2004', 'name': None}, {'link': '/awards/pearson.html#2004', 'name': None}, {'link': '/awards/ross.html#2004', 'name': None}, {'link': '/awards/voting-2004.html#selke', 'name': 'Selke-4'}]",17.9,22,0,0,38,0,0,2003-04,0,20:35,8,24,3,31
0,NHL,80,7,30,0,0,221,61,0,11,1679,TBL,0,0,"[{'link': '/awards/voting-2006.html#AS', 'name': 'AS-7'}]",14.0,19,30,-3,31,0,3,2005-06,0,20:59,9,38,1,18
0,NHL,82,7,31,0,0,273,102,0,16,1981,TBL,0,0,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-13'}, {'link': '/awards/nhl_all_star.html#2007', 'name': None}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-2'}, {'link': '/awards/voting-2007.html#hart', 'name': 'Hart-14'}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-18'}]",15.8,24,59,7,43,0,5,2006-07,0,24:09,14,28,6,37
62,NHL,82,5,32,9,411,241,83,34,19,1991,TBL,65,25.0,"[{'link': '/awards/voting-2008.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2008.html#byng', 'name': 'Byng-2'}]",10.4,13,58,-23,25,3,2,2007-08,45,24:17,10,26,1,38
68,NHL,82,3,33,16,453,262,80,17,18,1745,TBL,74,46.7,"[{'link': '/awards/voting-2009.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-2009.html#byng', 'name': 'Byng-2'}, {'link': '/awards/voting-2009.html#selke', 'name': 'Selke-39'}]",11.5,21,50,4,30,14,2,2008-09,48,21:17,7,14,1,31
57,NHL,82,7,34,85,405,242,94,19,30,1788,TBL,62,45.5,"[{'link': '/awards/voting-2010.html#AS', 'name': 'AS-7'}, {'link': '/awards/nhl_all_star.html#2010', 'name': None}, {'link': '/awards/byng.html#2010', 'name': None}, {'link': '/awards/voting-2010.html#hart', 'name': 'Hart-17'}]",12.0,21,65,-8,29,71,1,2009-10,40,21:49,7,12,0,35
71,NHL,82,7,35,81,450,254,99,37,37,1720,TBL,55,38.2,"[{'link': '/awards/voting-2011.html#AS', 'name': 'AS-8'}, {'link': '/awards/nhl_all_star.html#2011', 'name': None}, {'link': '/awards/byng.html#2011', 'name': None}, {'link': '/awards/voting-2011.html#hart', 'name': 'Hart-3'}, {'link': '/awards/voting-2011.html#selke', 'name': 'Selke-19'}]",12.2,27,68,0,31,50,0,2010-11,64,20:59,4,12,0,31
53,NHL,77,3,36,23,344,185,74,17,12,1743,TBL,66,43.9,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2012.html#byng', 'name': 'Byng-5'}]",13.5,21,49,-3,25,18,0,2011-12,39,22:38,4,16,0,37
40,NHL,0,2,37,16,192,112,0,23,17,1055,TBL,43,42.9,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-12'}, {'link': '/awards/nhl_all_star.html#2013', 'name': None}, {'link': '/awards/byng.html#2013', 'name': None}, {'link': '/awards/voting-2013.html#hart', 'name': 'Hart-9'}, {'link': '/awards/ross.html#2013', 'name': None}]",15.2,14,0,0,17,12,0,2012-13,32,21:59,3,14,0,26
53,NHL,81,5,38,99,370,204,69,24,12,1696,TOT,65,40.7,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2014.html#byng', 'name': 'Byng-2'}]",14.7,20,39,13,30,68,1,2013-14,38,20:56,9,10,1,26
42,NHL,62,5,38,93,297,167,61,15,9,1345,TBL,51,41.9,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2014.html#byng', 'name': 'Byng-2'}]",17.4,20,32,12,29,67,0,2013-14,22,21:41,9,6,1,22
11,NHL,19,0,38,6,73,37,8,9,3,351,NYR,14,14.3,"[{'link': '/awards/voting-2014.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-2014.html#byng', 'name': 'Byng-2'}]",2.7,0,7,1,1,1,1,2013-14,16,18:30,0,4,0,4
43,NHL,74,1,39,59,241,144,52,13,8,1300,NYR,41,46.4,"[{'link': '/awards/voting-2015.html#byng', 'name': 'Byng-20'}]",14.6,16,31,12,21,51,0,2014-15,37,17:34,5,20,0,23
