power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,0,0,0,NHL,1921-22,18,0,OTS,,0,2,0,0,0,,,0,0
0,0,0,0,NHL,1922-23,19,0,OTS,,0,0,0,0,0,,SC,0,0
0,0,0,0,NHL,1923-24,20,0,OTS,,0,6,0,0,0,,,0,0
0,2,1,0,NHL,1925-26,22,1,OTS,,0,4,0,0,0,,,0,0
0,6,2,0,NHL,1926-27,23,1,OTS,,1,14,0,0,0,,SC,0,0
0,2,0,0,NHL,1927-28,24,0,OTS,,0,6,0,0,0,,,0,0
0,2,1,0,NHL,1929-30,26,0,OTS,,1,2,0,0,0,,,0,0
0,2,1,0,NHL,1930-31,27,1,TOR,,0,0,0,0,0,,,0,0
0,0,3,0,NHL,1931-32,28,2,TOR,,1,14,0,0,0,,SC,0,0
0,0,3,0,NHL,1932-33,29,0,TOR,,3,14,0,0,0,,,0,0
0,3,0,0,NHL,1933-34,30,0,TOR,,0,8,0,0,0,,,0,0
0,0,1,0,NHL,1934-35,31,1,TOR,,0,8,0,0,0,,,0,0
0,0,4,0,NHL,1935-36,32,2,TOR,,2,10,0,0,0,,,0,0
