goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1976-77,5,82,0,0,0,0,0,0,Brown University Bears,0,0,0,3.66,19,ECAC,0,0,5,0,0,0
0,0,0,1977-78,33,590,0,0,0,0,0,0,Brown University Bears,1,0,0,3.36,20,ECAC,0,0,10,0,4,6
0,0,0,1978-79,49,755,0,0,0,0,0,0,Brown University Bears,0,0,0,3.89,21,ECAC,0,0,13,0,7,6
0,0,0,1979-80,93,1508,2,0,0,0,0,0,Brown University Bears,0,0,0,3.70,22,ECAC,0,0,26,0,10,14
0,0,0,1980-81,127,2223,1,0,0,0,0,0,Nova Scotia Voyageurs,2,0,0,3.43,23,AHL,0,0,42,0,20,17
0,0,0,1981-82,142,2534,5,0,0,0,0,0,Nova Scotia Voyageurs,0,0,0,3.36,24,AHL,0,0,44,0,19,19
0,0,0,1982-83,160,2369,1,0,0,0,0,0,Nova Scotia Voyageurs,0,0,0,4.05,25,AHL,0,0,41,0,21,16
0,0,0,1983-84,153,2739,7,0,0,0,0,0,Nova Scotia Voyageurs,0,0,0,3.35,26,AHL,0,0,47,0,19,8
0,0,0,1984-85,87,1261,1,0,0,0,0,0,Nova Scotia Oilers,1,0,0,4.14,27,AHL,0,0,22,0,8,12
0,0,0,1985-86,52,696,0,0,0,0,0,0,Sherbrooke Canadiens,0,0,0,4.48,28,AHL,0,0,12,0,5,7
0,0,0,1985-86,26,496,0,0,0,0,0,0,Fort Wayne Komets,1,0,0,3.15,28,IHL,0,0,9,0,3,3
