even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,2,EDM,1,14,22,0,,NHL,1,9,,1981-82,5,11.1,,0,3,1
1,6,EDM,1,10,23,0,,NHL,0,47,,1982-83,15,2.1,,0,7,14
1,9,EDM,1,8,24,0,,NHL,0,35,,1983-84,12,2.9,SC,0,10,18
2,17,EDM,3,17,25,0,,NHL,0,50,,1984-85,18,6.0,SC,1,20,20
0,2,EDM,0,0,26,0,,NHL,0,5,,1985-86,7,0.0,,0,2,3
1,7,EDM,1,21,27,0,,NHL,0,34,,1986-87,21,2.9,SC,0,8,12
2,5,EDM,4,10,28,0,,NHL,0,33,,1987-88,13,12.1,SC,2,9,2
1,0,EDM,2,4,29,0,,NHL,0,17,,1988-89,7,11.8,,1,2,-2
0,6,EDM,0,11,30,0,,NHL,0,35,,1989-90,0,0.0,SC,0,6,11
2,7,EDM,3,10,31,0,,NHL,0,35,,1990-91,18,8.6,,1,10,9
1,1,LAK,1,10,32,1,,NHL,0,12,,1991-92,6,8.3,,0,2,-2
1,4,LAK,1,12,33,0,,NHL,0,26,,1992-93,23,3.8,,0,5,9
0,0,BUF,0,0,35,0,,NHL,0,5,,1994-95,3,0.0,,0,0,1
1,0,STL,1,8,36,0,,NHL,0,14,,1995-96,13,7.1,,0,1,1
