average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,50,2,1,NHL,20,23,86,22,166,17,5,0,4,1975-76,PHI,23,27,"[{'link': '/awards/voting-1976.html#calder', 'name': 'Calder-5'}]",13.9,,0
,57,2,0,NHL,21,33,120,35,136,15,4,1,4,1976-77,PHI,19,38,"[{'link': '/awards/voting-1977.html#AS', 'name': 'AS-11'}]",14.0,,70
,48,2,1,NHL,22,28,203,26,154,12,3,1,3,1977-78,PHI,16,32,[],10.4,,76
,59,3,0,NHL,23,29,184,14,157,24,0,2,4,1978-79,PHI,24,35,[],15.3,,76
,47,2,2,NHL,24,26,136,13,145,12,2,2,3,1979-80,PHI,16,31,[],11.0,,74
,51,3,0,NHL,25,28,195,28,138,13,1,5,4,1980-81,PHI,14,37,"[{'link': '/awards/voting-1981.html#selke', 'name': 'Selke-8'}]",10.1,,77
,87,4,2,NHL,26,41,141,16,163,22,9,1,12,1981-82,TOT,33,54,[],20.2,,72
,12,1,0,NHL,26,5,47,0,22,4,3,0,0,1981-82,PHI,7,5,[],31.8,,9
,75,3,2,NHL,26,36,94,16,141,18,6,1,12,1981-82,CGY,26,49,[],18.4,,63
,50,1,0,NHL,27,22,103,-1,131,10,9,0,9,1982-83,CGY,19,31,[],14.5,,79
,61,0,1,NHL,28,30,121,-27,127,13,9,0,8,1983-84,NJD,23,38,[],18.1,,79
,61,3,3,NHL,29,24,105,-16,143,14,5,0,15,1984-85,NJD,22,39,[],15.4,,0
,63,1,1,NHL,30,27,80,-1,136,17,5,1,12,1985-86,NJD,23,40,[],16.9,,78
,43,2,2,NHL,31,27,99,-7,86,7,1,0,6,1986-87,TOT,10,33,[],11.6,,64
,39,1,1,NHL,31,25,80,-8,73,6,1,0,6,1986-87,NJD,8,31,[],11.0,,51
,4,1,1,NHL,31,2,19,1,13,1,0,0,0,1986-87,DET,2,2,[],15.4,,13
,17,1,0,NHL,32,11,42,4,40,6,0,0,0,1987-88,DET,6,11,[],15.0,,57
,7,0,0,NHL,33,1,10,-4,17,2,2,0,2,1988-89,VAN,4,3,[],23.5,,15
