goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.0,0,NHL,3,NSH,69,22,0,0,0,6,0,0,0,0,0,0,0,0,0,.864,1998-99,44,5.22,0,[],38
0.1,0,NHL,1,NSH,59,24,1,0,0,2,0,0,0,0,0,0,0,0,0,.900,2000-01,20,2.03,0,[],18
2.9,0,NHL,17,NSH,744,27,4,83,0,27,0,5.51,1,1,4,0,0,0,0,.926,2003-04,365,2.18,4,[],338
4.3,0,NHL,23,NSH,1227,29,5,88,1,52,0,6.94,1,2,12,0,0,1,0,.913,2005-06,597,2.54,0,[],545
10.4,0,NHL,40,NSH,2342,30,11,79,1,93,0,24.88,4,5,24,1,0,0,0,.925,2006-07,1244,2.38,4,"[{'link': '/awards/voting-2007.html#vezina', 'name': 'Vezina-10'}]",1151
6.3,15,NHL,51,NSH,2692,31,22,112,1,130,45,-13.90,6,4,18,1,.489,0,22,.898,2007-08,1278,2.90,0,[],1148
10.6,8,NHL,57,STL,3215,32,21,91,1,129,51,12.29,7,6,27,1,.608,0,31,.916,2008-09,1544,2.41,0,"[{'link': '/awards/voting-2009.html#AS', 'name': 'AS-11'}, {'link': '/awards/voting-2009.html#hart', 'name': 'Hart-22'}]",1415
10.5,10,NHL,61,STL,3512,33,22,98,0,148,61,2.75,8,2,30,0,.590,0,36,.913,2009-10,1699,2.53,0,[],1551
3.1,6,NHL,33,ATL,1682,34,13,124,0,95,27,-18.16,3,1,13,0,.333,0,9,.892,2010-11,882,3.39,4,[],787
1.8,3,NHL,20,WPG,995,35,7,118,0,43,15,-6.51,1,2,8,0,.400,0,6,.898,2011-12,422,2.59,0,[],379
0.4,2,NHL,11,NSH,467,36,7,144,0,29,6,-8.83,1,0,1,0,.500,0,3,.873,2012-13,229,3.73,0,[],200
