shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
26,0,0,23,60,1,0,1996-97,0,0,3.00,NHL,0,3,0,0,1,0,.885,19,0.1,0,[],0,0,0,COL
110,0,1,101,217,4,0,1998-99,0,1,2.49,NHL,0,9,0,0,1,0,.918,21,0.8,0,[],0,0,0,COL
618,0,3,567,1203,23,2,1999-00,0,9,2.54,NHL,0,51,86,8.09,8,0,.917,22,4.6,6,[],3,2,0,COL
940,0,4,841,1830,32,0,2000-01,0,6,3.25,NHL,0,99,109,-8.07,20,0,.895,23,4.9,2,[],0,0,0,CBJ
1197,0,5,1076,2335,42,1,2001-02,0,9,3.11,NHL,0,121,110,-10.58,24,0,.899,24,6.2,2,[],1,1,0,CBJ
0,0,8,0,0,0,0,2002-03,0,27,3.09,NHL,0,0,106,-12.85,0,0,.903,25,13.2,6,[],5,0,0,CBJ
1970,0,7,1808,3796,66,2,2003-04,0,21,2.56,NHL,0,162,92,13.44,0,0,.918,26,13.6,10,[],5,2,0,CBJ
1505,0,1,1354,2786,49,1,2005-06,0,21,3.25,NHL,0,151,102,-2.41,25,0,.900,28,8.9,2,[],1,1,0,CBJ
1068,0,2,943,2353,44,0,2006-07,0,17,3.19,NHL,0,125,124,-23.80,18,0,.883,29,3.9,2,[],1,0,0,TBL
199,.250,0,171,415,10,0,2007-08,0,1,4.05,NHL,4,28,0,0,5,1,.859,30,0.1,2,[],0,0,0,TBL
7,0,0,6,20,1,0,2008-09,0,0,3.00,NHL,0,1,0,0,0,0,.857,31,0.0,0,[],0,0,0,MTL
