shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,1559,26,0,1992-93,0,0,2.85,QAAA,0,74,0,0,0,0,0,15,0,5,0,0,Montreal-Bourassa
0,0,3,0,2093,36,0,1993-94,0,10,4.53,QAAA,0,158,0,0,22,0,0,16,0,0,0,0,Trois-Rivieres Estacades
0,0,1,0,1689,32,0,1994-95,0,17,3.48,QMJHL,0,98,0,0,9,0,0,17,0,0,0,0,Chicoutimi Sagueneens
0,0,4,0,2955,51,0,1995-96,0,23,3.19,QMJHL,0,157,0,0,22,0,0,18,0,2,0,0,Chicoutimi Sagueneens
0,0,0,0,120,2,0,1995-96,0,2,1.00,WJC-A,0,2,0,0,0,0,0,18,0,0,0,0,Canada
0,0,2,0,2317,41,0,1996-97,0,22,2.69,QMJHL,0,104,0,0,15,0,0,19,0,4,0,0,Chicoutimi Sagueneens
0,0,2,0,419,7,0,1996-97,0,5,1.86,WJC-A,0,13,0,0,0,0,0,19,0,1,0,0,Canada
1237,0,4,1112,2588,47,0,1997-98,0,17,2.90,AHL,0,125,0,0,23,0,.899,20,0,1,0,0,Hershey Bears
1584,0,5,1447,2908,52,1,1998-99,0,20,2.83,AHL,0,137,0,0,23,0,.914,21,17,4,1,0,Hershey Bears
0,0,0,0,263,5,0,2005-06,0,4,2.51,WC-A,0,11,0,0,1,0,0,28,0,1,0,0,Canada
988,0,2,899,1832,32,1,2007-08,0,11,2.91,AHL,0,89,0,0,17,0,.910,30,0,1,1,0,Norfolk Admirals
1363,0,0,1254,2659,46,0,2008-09,0,27,2.46,AHL,0,109,0,0,18,0,.920,31,8,5,0,0,Hamilton Bulldogs
