pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Austria,2,0,3,WC-B,7,1996-97,21,1
18,Klagenfurter AC,7,0,19,Austria,27,1997-98,22,12
6,Klagenfurter AC,8,0,16,Austria,21,1998-99,23,8
16,Klagenfurter AC,10,0,33,Alpenliga,33,1998-99,23,23
0,Austria,1,0,2,WC-Q,3,1998-99,23,1
30,Klagenfurter AC,19,0,48,IEHL,34,1999-00,24,29
20,Klagenfurter AC,3,0,11,Austria,16,1999-00,24,8
4,Austria,0,1,4,WC-A,6,1999-00,24,4
4,Klagenfurter AC,2,0,8,Austria,6,2000-01,25,6
34,Krefeld Pinguine,24,0,48,Germany,59,2000-01,25,24
0,Austria,1,6,5,Oly-Q,3,2000-01,25,4
2,Austria,2,-4,2,WC-A,6,2000-01,25,0
20,Krefeld Pinguine,25,0,55,Germany,50,2001-02,26,30
2,Austria,1,-1,1,Olympics,4,2001-02,26,0
0,Austria,4,1,5,WC-A,6,2001-02,26,1
26,Krefeld Pinguine,17,0,45,Germany,49,2002-03,27,28
2,Austria,0,-1,2,WC-A,6,2002-03,27,2
18,Houston Aeros,7,0,14,AHL,37,2003-04,28,7
15,Houston Aeros,3,-5,8,AHL,26,2004-05,29,5
10,Sodertalje SK,2,0,5,Sweden,25,2005-06,30,3
16,Hamburg Freezers,10,0,32,Germany,48,2006-07,31,22
36,Hamburg Freezers,20,0,38,Germany,47,2007-08,32,18
6,Austria,1,5,5,WC-B,5,2007-08,32,4
46,Klagenfurter AC,23,0,42,Austria,47,2008-09,33,19
20,Klagenfurter AC,6,0,19,Austria,28,2009-10,34,13
32,Klagenfurter AC,11,0,29,Austria,42,2010-11,35,18
16,Klagenfurter AC,11,0,21,Austria,47,2011-12,36,10
