year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1981-82,17,0,10,0,0,OHL,5,Cornwall Royals,0
1982-83,18,0,24,2,0,OHL,8,Cornwall Royals,2
1993-94,29,0,51,1,0,IHL,4,Las Vegas Thunder,1
1996-97,32,0,2,0,0,IHL,3,Kansas City Blades,0
