goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
8.4,0,NHL,55,CBJ,2952,33,23,102,0,137,0,-2.44,3,3,24,0,0,0,0,.904,2006-07,1420,2.78,6,[],1283
4.0,7,NHL,37,CBJ,1960,34,19,114,1,89,30,-11.24,6,2,10,1,.400,0,12,.896,2007-08,856,2.72,0,[],767
0.3,1,NHL,8,CBJ,323,35,3,0,0,17,5,0,2,0,1,0,.200,0,1,.872,2008-09,133,3.16,0,[],116
