won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,3,NYR,177,23,3,0,0,13,0,0,0,0,0,0,0,0,0,.835,2005-06,79,4.41,0,66
,0,NHL,10,NYR,637,24,4,93,0,22,0,1.63,0,1,6,0,0,0,0,.924,2006-07,291,2.07,0,269
,2,NHL,10,NYR,608,25,5,105,0,26,10,-1.35,0,1,5,0,.500,0,5,.909,2007-08,287,2.57,0,261
,2,NHL,7,NYR,380,26,4,108,0,19,7,-1.42,0,1,3,0,.571,0,4,.908,2008-09,207,3.00,0,188
,0,NHL,5,NYR,346,28,4,99,0,13,5,0.18,0,0,1,0,.800,0,4,.917,2010-11,156,2.25,0,143
,1,NHL,20,NYR,1251,29,0,87,0,38,20,5.57,0,0,10,0,.550,0,11,.931,2011-12,554,1.82,0,516
,1,NHL,12,NYR,756,30,7,85,0,27,12,4.74,0,2,5,0,.667,0,8,.934,2012-13,411,2.14,0,384
,3,NHL,25,NYR,1516,31,0,83,1,54,25,11.15,0,1,13,1,.640,0,16,.927,2013-14,737,2.14,0,683
,2,NHL,19,NYR,1166,32,8,91,0,41,19,3.84,0,0,11,0,.789,0,15,.928,2014-15,570,2.11,0,529
,2,NHL,5,NYR,205,33,3,160,0,15,5,-5.64,0,0,1,0,.600,0,3,.867,2015-16,113,4.39,0,98
,1,NHL,12,NYR,775,34,6,92,0,29,12,2.43,0,1,6,0,.667,0,8,.927,2016-17,395,2.25,0,366
