shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,6,0,3499,60,1,1968-69,0,18,3.26,NHL,0,190,0,0,0,0,0,24,7.9,6,"[{'link': '/awards/voting-1969.html#calder', 'name': 'Calder-4'}]",4,1,0,LAK
0,0,5,0,2693,47,1,1969-70,0,11,3.72,NHL,0,167,0,0,29,0,0,25,3.7,14,[],3,1,0,TOT
0,0,5,0,2453,43,0,1969-70,0,7,3.89,NHL,0,159,0,0,29,0,0,25,2.7,14,[],3,0,0,LAK
0,0,0,0,240,4,1,1969-70,0,4,2.00,NHL,0,8,0,0,0,0,0,25,1.0,0,[],0,1,0,CBH
0,0,3,0,1217,22,0,1970-71,0,12,2.42,NHL,0,49,0,0,6,0,0,26,4.6,6,[],0,0,0,CBH
0,0,3,0,360,6,0,1971-72,0,1,3.50,NHL,0,21,0,0,2,0,0,27,0.7,0,[],0,0,0,CBH
0,0,3,0,2498,44,0,1972-73,0,5,4.68,NHL,0,195,0,0,0,0,0,28,1.6,9,[],0,0,0,NYI
0,0,6,0,1945,36,0,1973-74,0,9,3.12,NHL,0,101,0,0,17,0,0,29,5.4,0,[],0,0,0,NYI
1391,0,0,1229,2282,41,1,1974-75,0,0,4.26,WHA,0,162,106,-9.58,0,0,.884,30,0,13,[],0,1,0,MIB
0,0,1,0,540,9,0,1974-75,0,6,2.78,NHL,0,25,0,0,2,0,0,30,1.9,0,[],0,0,0,BUF
0,0,11,0,3280,55,1,1975-76,0,29,2.95,NHL,0,161,0,0,15,0,0,31,10.9,2,[],2,1,0,BUF
0,0,6,0,2871,49,0,1976-77,0,31,2.63,NHL,0,126,0,0,12,0,0,32,10.5,2,[],3,0,0,BUF
0,0,0,0,111,3,0,1977-78,0,0,3.78,NHL,0,7,0,0,1,0,0,33,0.2,0,[],0,0,0,BUF
