pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,K\xc3\xa4rp\xc3\xa4t U18,2,0,2,Jr. B SM-sar,4,2011-12,14,0
4,K\xc3\xa4rp\xc3\xa4t U16,10,0,19,Jr. C SM-sar,8,2011-12,14,9
0,K\xc3\xa4rp\xc3\xa4t U20,2,1,4,Jr. A SM-lii,5,2012-13,15,2
32,K\xc3\xa4rp\xc3\xa4t U18,32,0,60,Jr. B SM-sar,38,2012-13,15,28
14,K\xc3\xa4rp\xc3\xa4t U16,1,0,3,Jr. C SM-sar,1,2012-13,15,2
0,Finland U17,0,5,5,EYOF,2,2012-13,15,5
2,Finland U16 (all),3,1,5,Internationa,5,2012-13,15,2
2,Finland U17 (all),0,-2,0,Internationa,3,2013-14,16,0
18,K\xc3\xa4rp\xc3\xa4t U20,34,28,59,Jr. A SM-lii,44,2013-14,16,25
0,K\xc3\xa4rp\xc3\xa4t U18,3,0,6,Jr. B SM-sar,2,2013-14,16,3
0,K\xc3\xa4rp\xc3\xa4t,1,1,1,Liiga,3,2013-14,16,0
6,Finland U18 (all),5,0,10,Internationa,20,2013-14,16,5
4,Finland U18,1,2,3,WJC-18,5,2013-14,16,2
2,Finland U18,0,-1,0,Hlinka Memor,4,2013-14,16,0
0,Finland U18,2,2,7,Hlinka Memor,4,2014-15,17,5
4,K\xc3\xa4rp\xc3\xa4t U20,9,2,10,Jr. A SM-lii,10,2014-15,17,1
10,K\xc3\xa4rp\xc3\xa4t,7,4,11,Liiga,27,2014-15,17,4
2,K\xc3\xa4rp\xc3\xa4t,1,3,1,Champions HL,7,2014-15,17,0
2,Finland U20 (all),4,5,7,Internationa,13,2014-15,17,3
2,Finland U20,0,-1,0,WJC-20,5,2014-15,17,0
6,Finland U18 (all),3,-4,9,Internationa,9,2014-15,17,6
0,Finland U18,1,1,1,WJC-18,1,2014-15,17,0
0,\xc3\x84ss\xc3\xa4t,2,2,2,Liiga,3,2014-15,17,0
2,Finland,4,2,7,EHT,5,2015-16,18,3
2,K\xc3\xa4rp\xc3\xa4t,25,26,45,Liiga,45,2015-16,18,20
6,K\xc3\xa4rp\xc3\xa4t,6,7,9,Champions HL,11,2015-16,18,3
4,Finland U20 (all),13,12,21,Internationa,15,2015-16,18,8
4,Finland U20,9,9,14,WJC-20,7,2015-16,18,5
6,Finland (all),8,6,14,Internationa,15,2015-16,18,6
4,Finland,4,4,7,WC,10,2015-16,18,3
0,Finland (all),0,-1,0,Internationa,1,2016-17,19,0
0,Finland,0,-1,0,WCup,3,2016-17,19,0
