average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
5:35,0,0,0,0,0,NHL,25,0,0,6,-1,22,0,0,0,0,0,0,0,2006-07,DET,0,0,0,0,0.0,89,16,[]
7:57,102,8,1,1,16,NHL,26,5,53,26,3,66,46.5,2,61,0,0,0,17,2007-08,TOT,3,28,5,9,4.5,429,54,[]
5:23,41,6,1,0,2,NHL,26,4,43,12,1,28,49.4,2,44,0,0,0,6,2007-08,DET,2,15,4,3,7.1,188,35,[]
12:41,61,2,0,1,14,NHL,26,1,10,14,2,38,37.0,0,17,0,0,0,11,2007-08,LAK,1,13,1,6,2.6,241,19,[]
8:50,103,12,2,0,19,NHL,27,4,112,12,4,73,46.9,7,127,0,0,1,13,2008-09,BUF,7,21,5,7,9.6,397,45,[]
9:03,177,13,1,0,20,NHL,28,10,141,12,-1,112,50.0,3,141,0,0,0,18,2009-10,BUF,3,33,10,11,2.7,652,72,[]
10:03,39,0,0,0,7,NHL,29,0,28,0,-4,20,48.3,0,30,0,0,0,4,2010-11,BUF,0,8,0,1,0.0,141,14,[]
9:43,140,8,1,0,17,NHL,30,5,117,25,-3,85,48.0,3,127,0,0,0,22,2011-12,BUF,3,34,5,7,3.5,583,60,[]
6:12,9,0,0,0,3,NHL,31,0,15,0,0,8,41.7,0,21,0,0,0,0,2012-13,BUF,0,0,0,2,0.0,37,6,[]
9:28,102,6,0,0,24,NHL,32,2,69,4,-6,70,41.6,4,97,0,0,0,17,2013-14,BUF,4,37,2,3,5.7,474,50,[]
8:19,40,2,1,0,16,NHL,33,1,100,4,-12,29,48.8,1,105,0,0,0,12,2014-15,BUF,1,10,1,2,3.4,325,39,[]
