goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1997-98,14,180,0,0,0,0,0,0,Brynas IF Gavle,0,0,0,4.67,19,Sweden,0,0,3,0,0,3
0,0,0,1998-99,34,855,0,2,0,0,0,0,Brynas IF Gavle,0,0,0,2.39,20,Sweden,0,0,14,0,9,5
0,0,0,1999-00,30,671,0,2,0,0,0,0,Brynas IF Gavle,1,0,0,2.68,21,Sweden,0,0,11,0,0,0
0,0,0,2000-01,13,314,0,0,0,155,168,0,Hartford Wolf Pack,0,0,0,2.48,22,AHL,.923,0,5,0,2,3
0,0,0,2001-02,12,163,0,0,0,53,65,0,Hartford Wolf Pack,0,0,0,4.42,23,AHL,.815,0,4,0,1,2
0,0,0,2002-03,50,1499,0,2,0,648,698,0,Houston Aeros,1,0,0,2.00,24,AHL,.928,0,23,0,15,8
0,0,0,2005-06,13,194,0,2,0,0,0,0,Brynas IF Gavle,0,0,0,4.02,27,Sweden,0,0,4,0,0,0
0,0,0,2008-09,25,623,0,0,0,0,0,0,Frolunda HC Goteborg,1,0,0,2.41,30,Sweden,0,0,11,0,0,0
0,0,0,2009-10,22,429,0,0,0,0,0,1,Frolunda HC Goteborg,0,0,0,3.08,31,Sweden,0,0,7,1,0,0
0,0,0,2011-12,9,252,0,0,0,0,0,0,Brynas IF Gavle,0,0,0,2.14,33,Sweden,0,0,4,0,0,0
0,0,0,2012-13,15,216,0,0,0,0,0,0,Brynas IF Gavle,0,0,0,4.17,34,Sweden,0,0,4,0,0,4
