goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1995-96,7,240,0,0,0,0,0,0,Sweden,1,0,0,1.75,17,EJC-A,0,0,4,0,3,1
0,0,0,1996-97,4,80,0,0,0,0,0,0,Brynas IF Gavle,0,0,0,3.00,18,Sweden,0,0,2,0,0,0
0,0,0,1997-98,82,1897,0,0,0,0,0,0,Brynas IF Gavle,0,0,0,2.59,19,Sweden,0,0,33,0,0,0
0,0,0,1997-98,11,366,0,0,0,0,0,0,Sweden,2,0,0,1.80,19,WJC-A,0,0,6,0,0,0
0,0,0,1998-99,111,2383,0,2,0,0,0,0,Brynas IF Gavle,4,0,0,2.79,20,Sweden,0,0,41,0,0,0
0,0,0,1999-00,104,2402,0,4,0,0,0,0,Brynas IF Gavle,4,0,0,2.60,21,Sweden,0,0,41,0,0,0
0,0,0,2000-01,111,2305,4,4,0,1075,1186,1,Hartford Wolf Pack,2,0,0,2.89,22,AHL,.906,0,43,1,19,14
0,0,0,2001-02,140,2734,6,2,0,1251,1391,1,Hartford Wolf Pack,1,0,0,3.07,23,AHL,.899,0,48,1,26,12
0,0,0,2002-03,2,60,0,0,0,43,45,0,Charlotte Checkers,0,0,0,2.00,24,ECHL,.956,0,1,0,1,0
0,0,0,2002-03,107,2383,5,4,0,1053,1160,0,2 Teams,3,0,0,2.69,24,AHL,.908,0,43,0,19,16
0,0,0,2002-03,84,1904,5,4,0,847,931,0,Hartford Wolf Pack,2,0,0,2.65,24,AHL,.910,0,35,0,14,13
0,0,0,2002-03,23,479,0,0,0,206,229,0,Houston Aeros,1,0,0,2.88,24,AHL,.900,0,8,0,5,3
0,0,0,2003-04,148,3467,7,0,0,1468,1616,2,Houston Aeros,4,0,0,2.56,25,AHL,.908,0,59,2,23,27
0,0,0,2004-05,138,2445,0,2,0,0,0,1,Brynas IF Gavle,1,0,0,3.39,26,Sweden,0,0,42,1,0,0
0,0,0,2004-05,3,40,0,0,0,18,21,0,Sweden,0,0,0,4.50,26,WC-A,.857,0,1,0,0,1
0,0,0,2005-06,50,1539,0,0,0,0,0,3,Brynas IF Gavle,3,0,0,1.95,27,Sweden,0,0,26,3,0,0
0,0,0,2005-06,14,420,2,0,0,0,0,0,Sweden,2,0,0,2.00,27,WC-A,0,0,7,0,5,0
0,0,0,2008-09,101,2799,0,2,0,0,0,1,Frolunda HC Goteborg,2,0,0,2.17,30,Sweden,0,0,49,1,0,0
0,0,0,2008-09,4,88,0,0,0,43,47,0,Sweden,0,0,0,2.73,30,WC-A,.915,0,2,0,1,0
0,0,0,2009-10,142,3181,0,2,0,0,0,1,Frolunda HC Goteborg,0,0,0,2.68,31,Sweden,0,0,53,1,0,0
0,0,0,2010-11,105,2297,0,2,0,0,0,1,Frolunda HC Goteborg,3,0,0,2.74,32,Sweden,0,0,40,1,0,0
0,0,0,2011-12,63,1599,0,2,0,0,0,2,Brynas IF Gavle,1,0,0,2.36,33,Sweden,0,0,28,2,0,0
0,0,0,2012-13,88,2095,0,2,0,0,0,0,Brynas IF Gavle,4,0,0,2.52,34,Sweden,0,0,39,0,15,20
