pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,Itil Kazan 2,12,0,32,CIS-2,40,1994-95,15,20
10,Ak Bars Kazan,8,0,18,CIS,15,1995-96,16,10
20,Ak Bars Kazan 2,23,0,40,Russia-3,50,1996-97,17,17
0,Ak Bars Kazan,0,0,1,Russia,1,1996-97,17,1
2,Ak Bars Kazan,2,0,4,Russia,29,1997-98,18,2
22,Ak Bars Kazan,1,0,13,Russia,34,1998-99,19,12
0,Ak Bars Kazan,0,0,0,EuroHL,4,1998-99,19,0
4,Russia,2,0,7,WJC-A,7,1998-99,19,5
14,Ak Bars Kazan,9,0,16,Russia,32,1999-00,20,7
11,Milwaukee Admirals,8,-1,17,IHL,40,2000-01,21,9
12,Russia,1,2,3,WC-A,7,2002-03,23,2
28,Ak Bars Kazan,8,0,17,Russia,45,2004-05,25,9
28,Khimik Moscow Region,8,0,16,Russia,50,2005-06,26,8
6,Russia,4,2,6,WC-A,7,2005-06,26,2
22,Ak Bars Kazan,17,0,27,Russia,56,2007-08,28,10
24,Atlant Moscow Region,12,0,22,KHL,56,2008-09,29,10
48,Neftekhimik Nizhnekamsk,15,0,29,KHL,55,2009-10,30,14
